hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64, 32)",91,0.13817697100537238,0.07753202481238185,0.04916278144991648,0.3170041642868119,0.6601849174415606
"(64,)",101,0.027990152526076912,0.052081404532896294,0.06276896923282792,0.24862263400693116,0.6971821054487811
"(64,)",108,0.11878047993480477,0.07054336141496405,0.044081692088601236,0.21255897268453766,0.7005187870697633
"(64, 32)",91,0.05955609954808919,0.05936678214338739,0.07405560943440534,0.2536593378213533,0.6543002110416699
"(64,)",106,0.0747602853600133,0.03876103001458289,0.09880072912301509,0.3148993925289493,0.683284855058174
"(64,)",85,0.031049562299025044,0.05106472383309629,0.0001,0.3181297079731824,0.7317210751558637
"(64,)",64,0.2,0.1,0.0001,0.2,0.7101927864705793
"(64,)",128,0.2,0.02,0.0001,0.2,0.7229980431715789
"(64,)",125,0.2,0.02,0.0001,0.35,0.7208497271437889
"(64,)",128,0.0,0.02,0.0001,0.2,0.7354519903903038
"(64,)",64,0.0,0.02,0.0001,0.2,0.7171497665837417
"(64, 32)",128,0.0,0.1,0.0001,0.2,0.6661219339229101
"(64,)",108,0.0,0.07775713670604648,0.0001,0.3021239767787306,0.6908583688545726
"(64,)",79,0.0,0.02172775828451357,0.1,0.2,0.6879034062466817
"(64,)",128,0.0,0.03838342358340688,0.0001,0.2,0.7318156220135613
"(64,)",64,0.2,0.051893484663165096,0.0001,0.2,0.7177697844454894
"(64,)",128,0.0,0.02,0.04741768523353708,0.31740089615278955,0.7002729273167181
"(64,)",99,0.0,0.034175779681063466,0.0001,0.2,0.7255665463874521
"(64,)",119,0.19947021614832186,0.1,0.1,0.21706777783417408,0.6803965421779956
"(64, 32)",89,0.024133651880620118,0.021081704336148893,0.00022320544774996143,0.2826368065163278,0.6971897137569589
"(64,)",64,0.2,0.02,0.0001,0.35,0.7264696359768215
"(64,)",64,0.2,0.02,0.0001,0.2,0.7235819156440089
"(64,)",115,0.16266768700159903,0.020071418604053752,0.0008825619372187678,0.2683117269867491,0.7214076460415939
"(64, 32)",128,0.06590771666203914,0.020239112021285647,0.001081964858187557,0.2389213063964991,0.7111848766743019
"(64,)",128,0.12862718090825462,0.047600059912727186,0.0001,0.35,0.7338873572197867
"(64, 32)",128,0.2,0.03671419503826491,0.0001,0.35,0.7059194533774251
"(64,)",128,0.04861933782428341,0.050824408491687754,0.0001,0.2119226215096938,0.7320025351546502
"(64,)",128,0.2,0.06110821485660954,0.0001,0.2166509850596285,0.7236953529117304
"(64, 32)",71,0.1937389422705222,0.022447686698092138,0.0945734866123874,0.30182990173217283,0.6561225312106548
"(64,)",69,0.023778656306866538,0.08986061968447474,0.09634894476208732,0.22251998057131275,0.6870856671798916
