hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64,)",73,0.240492745288036,0.0812566250403676,0.0001,0.999,0.5838147380746554
"(64,)",85,0.2256622180414623,0.1,0.0001,0.999,0.5705329153605017
"(64, 32)",85,0.0708928749144852,0.065717888730391,0.0025024238867028,0.9986362703880188,0.5618006152056676
"(64,)",150,0.2564826479560982,0.1,0.0001,0.999,0.5593911312862423
"(64,)",124,0.2770569914577758,0.1,0.0001,0.999,0.5550330895158482
"(64,)",84,0.28230840464972723,0.08140978735382552,0.0023906932849012013,0.999,0.5577755684373684
"(64,)",64,0.22325990642102927,0.04300711850315723,0.0001,0.001,0.41504178272980496
"(64,)",90,0.0,0.02,0.0001,0.9879467432196366,0.4433452490795685
"(64, 32)",64,0.0,0.08999895072134138,0.0001,0.999,0.5510044390555389
"(64,)",95,0.0303737478393043,0.09417066255308566,0.1,0.12419021111630403,0.4306854097460187
"(64,)",64,0.1862189634616715,0.07928189777688195,0.0001,0.999,0.5001989653800238
"(64, 32)",71,0.06771799843044427,0.09172170359113628,0.08689835269964298,0.40726472560864474,-1.0
"(64, 32)",113,0.014535381139431034,0.1,0.024353765345954306,0.999,0.4821572796530793
"(64,)",64,0.4,0.1,0.0001,0.5666924429824906,0.4519721577726218
"(64, 32)",87,0.12009305821755,0.09596417624081778,0.0435116795925406,0.9056498400830345,-1.0
"(64, 32)",150,0.0,0.1,0.005053798995590357,0.999,0.5473537604456824
"(64,)",64,0.20728645357185674,0.08896381318004869,0.0001,0.9688734118537977,0.4430959013131715
"(64,)",73,0.3264102062703629,0.07832117517234503,0.007124869129269185,0.4684849978161544,0.45962877030162413
"(64, 32)",150,0.11450263543583017,0.1,0.018201843084882104,0.999,0.48204042181960416
"(64,)",150,0.0,0.02,0.022206934925183518,0.001,0.4529002320185615
"(64, 32)",150,0.4,0.1,0.0033289330397832,0.999,0.48074245939675175
"(64,)",64,0.0,0.1,0.011933386437029639,0.999,0.5294663573085847
"(64, 32)",150,0.39999999999999997,0.02,0.1,0.999,0.5188087774294671
"(64,)",64,0.4,0.02,0.018750049488426603,0.999,0.49701551929964183
"(64, 32)",150,0.0,0.02,0.010773713310972087,0.999,0.4925754060324826
"(64,)",150,0.2474265755689475,0.1,0.031167486781127147,0.8894214782030992,-1.0
"(64,)",135,0.2802904573865827,0.053343380023372744,0.09925412360129131,0.3746053061916506,0.42120970951054515
"(64,)",150,0.09449758386818917,0.07644974324139295,0.009084163900619837,0.5173158560408788,-1.0
"(64,)",137,0.07303763857653299,0.03800468430076709,0.07298810251815557,0.3473843781677194,0.43613211301233584
"(64,)",94,0.2102385891907222,0.06783767615760429,0.07984140193178497,0.36302370096097525,-1.0
"(64, 32)",64,0.0,0.020000000000000004,0.013189846193112732,0.9843950517463873,0.4737819025522042
"(64,)",120,0.33508961782625946,0.03907074337862439,0.06878995630631343,0.33618762021143495,0.4315559092717867
"(64,)",147,0.3242761863091744,0.0278412888821417,0.002969217457389717,0.38262119848909876,0.45614849187935036
"(64, 32)",136,0.006980664236547647,0.025315504871824004,0.1,0.016133486700137284,-1.0
"(64,)",64,0.0005258875016172353,0.07707478901211673,0.0001,0.9963911579197614,0.42727818825215813
"(64, 32)",66,0.16763309712567653,0.02788213496797757,0.006104665707656625,0.5839303348023323,-1.0
"(64,)",120,0.11749853281523899,0.07143536888507361,0.1,0.37893230748965195,0.4240682688958551
"(64,)",79,0.22248705892542864,0.09235179717875547,0.08940112321968553,0.5515645721978302,-1.0
"(64, 32)",120,0.2387879425475664,0.035043096257141804,0.08082944175237698,0.34274998642685023,0.3899338209683037
"(64, 32)",143,0.016040834531188913,0.047180406356753496,0.0001,0.3776672732469821,-1.0
"(64, 32)",64,0.014213274775175692,0.032540212227073914,0.0497460135536759,0.9956535267596158,0.4892167139789847
"(64,)",93,0.29467536510980297,0.021890712430055474,0.006053173496412783,0.3847076384935042,0.4587006960556844
"(64,)",64,0.06920196725726534,0.03910572033725423,0.0001,0.5719993094454999,-1.0
"(64,)",115,0.2511528330675403,0.050801162153840076,0.1,0.3802661471908405,0.415041782729805
"(64, 32)",64,0.053816209400850225,0.1,0.07958825670715869,0.9916583026513103,0.49940310385992837
"(64,)",106,0.04170350993499101,0.06188643603398805,0.07338512850118711,0.3420296207645893,0.4369279745324314
"(64,)",81,0.2131296927245857,0.075794166132477,0.036240512111417385,0.5631283413047995,0.4478710704337445
"(64,)",150,0.09076977417753462,0.06692066806490359,0.05426195116642834,0.9790387909065794,0.5041763341067286
"(64,)",74,0.3869857233129743,0.05540753004029987,0.04332694864425463,0.46111134017671207,0.4401114206128134
"(64,)",150,0.05350819451327365,0.05587804678675232,0.05279879506707823,0.009268988471660761,0.45244727417429365
