hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64, 32)",89,0.3647722364270142,0.06836684015741243,0.0816070410632147,0.8470365143696021,0.7853403141361257
"(64, 32)",110,0.2670328504849752,0.05274570684034578,0.06678871176964171,0.6154900705727931,-1.0
"(64, 32)",92,0.23877749840654855,0.0820768520841359,0.07552882659880275,0.43259505817915783,-1.0
"(64, 32)",127,0.33029006275429607,0.0858061195903099,0.05379986893787833,0.3461750505485398,-1.0
"(64, 32)",112,0.10047707640685835,0.050696982489759304,0.03772128539007114,0.6674395112308771,-1.0
"(64, 32)",123,0.17071818884027495,0.0723075457210459,0.02421152450757358,0.999,0.5933682373472949
"(64, 32)",101,0.30682056661888596,0.06908457681823575,0.060555758657102936,0.9499105925491858,0.7556719022687609
"(64,)",76,0.3267424157086579,0.06815802804194529,0.1,0.001,-1.0
"(64,)",64,0.0,0.06868408160219157,0.07967080327830042,0.8781554426563264,-1.0
"(64, 32)",122,0.0,0.06452492284960128,0.0001,0.001,-1.0
"(64, 32)",80,0.007742302741883202,0.06428309933777901,0.0023268879665630134,0.9755624454491308,0.7207678883071553
"(64, 32)",64,0.0,0.020120437323235596,0.0001,0.888221202428415,0.5706806282722513
"(64, 32)",64,0.0,0.080349452849796,0.0001,0.8832161280745678,-1.0
"(64, 32)",86,0.3753396051095638,0.02,0.016751436521955505,0.23124086398664517,-1.0
"(64, 32)",67,0.08459210923217948,0.02562005586725704,0.09177409563315926,0.999,0.6058960434445306
"(64, 32)",98,0.17150010193253662,0.06742130828369311,0.038510724475783395,0.9217471339506516,-1.0
