hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64,)",111,0.37247845887723763,0.06146918013662228,0.0692401595511905,0.0074073975633135065,0.5340563991323211
"(64,)",99,0.3576591103618501,0.0981104515907718,0.045594106422989285,0.4248764945281115,-1.0
"(64,)",79,0.10447381855440854,0.07808674717163493,0.058069267792592034,0.009974367657520005,0.5401301518438177
"(64,)",73,0.05659499023139839,0.0869686558194878,0.0265719798825795,0.9678784281712812,-1.0
"(64, 32)",102,0.29314323355489297,0.038511103688828416,0.061346011953477955,0.4583762560647297,0.48720173535791755
"(64,)",70,0.07531266988908963,0.08285979069914315,0.05909519856326174,0.001,0.5401301518438177
"(64, 32)",125,0.05798821302271687,0.03134534206936511,0.047199068013555064,0.9218595651364011,0.5331887201735358
"(64, 32)",120,0.11274132404015527,0.033001729117475696,0.050491908681537245,0.813995773351361,-1.0
"(64, 32)",69,0.08935121406938348,0.059437640104589365,0.014250175394690031,0.999,0.5709327548806942
"(64, 32)",119,0.24736509600098994,0.038913346266554974,0.04362106627567547,0.31834068170023516,-1.0
"(64, 32)",113,0.32385265856251605,0.08804132412902092,0.08737043836931724,0.959307782036168,-1.0
"(64,)",110,0.14453464470386737,0.06878934205423065,0.013521975389056555,0.999,0.6203904555314533
"(64, 32)",89,0.2951305527638508,0.057211225222853726,0.08014070942317007,0.4687305699026352,0.48850325379609544
"(64,)",128,0.19540936240395965,0.07619068444517821,0.012896683369098497,0.999,0.6199566160520608
"(64, 32)",116,0.1891135685829567,0.028204068238744752,0.06810488608878165,0.893809923219544,-1.0
"(64,)",67,0.11917045424239253,0.09863517014818725,0.08240564523755166,0.021964641681393893,0.5396963123644252
"(64, 32)",107,0.2726411019758452,0.06053423821301565,0.04732244565808473,0.949126663823753,0.559652928416486
"(64, 32)",98,0.29257628174304945,0.03369325810016375,0.06716934809805114,0.4622042376353969,0.48893709327548807
"(64, 32)",91,0.3273780671307593,0.05833330531209985,0.0071789749948040936,0.9465693582800497,0.5084598698481562
"(64,)",64,0.0,0.02,0.018371543170970433,0.9976191968715853,0.6108459869848156
"(64, 32)",126,0.023969446455239046,0.03674041235507661,0.033955757926565015,0.9356903282505998,-1.0
"(64,)",90,0.046198881513810665,0.02,0.017254513537476986,0.999,0.613882863340564
"(64, 32)",112,0.14999773453471452,0.04766786062570735,0.05422213511005731,0.9189329762044866,0.5587852494577007
"(64, 32)",114,0.14686173446011566,0.045444640650843665,0.05117883237813372,0.9345789989888862,-1.0
"(64, 32)",94,0.29549297860101686,0.021076357209056075,0.05490209265380053,0.9147895457469442,0.455531453362256
"(64, 32)",99,0.13748334859334527,0.039001531238105944,0.06708120960402657,0.2955802433552624,0.4811279826464208
"(64, 32)",89,0.054018769426026604,0.09051674492897488,0.046935764058328173,0.999,0.6091106290672451
"(64,)",122,0.1990417169313612,0.09101004116653233,0.017809827722346024,0.9789027850963602,-1.0
"(64,)",89,0.027304526031552104,0.08288209851685426,0.01725701062876011,0.999,0.6151843817787419
"(64, 32)",127,0.15489830409149644,0.04831158068814871,0.05489178890155605,0.9171540945137444,-1.0
"(64,)",128,0.21472499756603136,0.08221106515299702,0.0059581891987509905,0.9889050098891088,0.5674620390455531
"(64,)",128,0.17650901266722074,0.07196458751754024,0.019380086005082845,0.999,0.6134490238611714
"(64, 32)",125,0.004853513520603138,0.029000705972867538,0.09942040192198799,0.42339108255759816,0.47982646420824293
"(64,)",99,0.23965671625178195,0.02,0.09336742385754794,0.29046519505559776,0.531887201735358
"(64,)",112,0.10738170733356243,0.04042355755268549,0.021668707751774013,0.9647639789588283,0.514533622559653
"(64,)",90,0.04582263338959759,0.03377044421845723,0.07835021861066516,0.999,0.6143167028199567
"(64, 32)",110,0.05357366045012488,0.0708484942139949,0.055242589196578304,0.999,0.6147505422993492
"(64,)",110,0.2107644486398229,0.06042982815767138,0.0011058678078226184,0.999,0.7574837310195228
"(64,)",110,0.2301652534787455,0.04773040361336941,0.028091306893190265,0.11065061194033383,0.5418655097613883
"(64, 32)",110,0.2560129395068832,0.0530287059109312,0.01744957256765464,0.999,0.6008676789587852
"(64,)",124,0.18063891131511056,0.037257772979932394,0.022778647992665116,0.999,0.6082429501084599
"(64,)",110,0.20387360786816458,0.05485376500983087,0.020295984086928575,0.999,0.6099783080260304
"(64,)",69,0.21942287052215362,0.1,0.04547672820521473,0.5064628055286129,0.5383947939262473
"(64,)",90,0.1415010106118747,0.09022181199594734,0.03770405041103964,0.25512265165431547,0.5375271149674621
"(64,)",109,0.3960452877525465,0.06637503395385527,0.0001,0.7256840539517789,0.5600867678958785
"(64,)",65,0.20390952840987478,0.04318150049350292,0.04345461674544657,0.9401179334573354,0.5240780911062907
"(64,)",110,0.1316973156773895,0.059206010139373835,0.0001,0.2023990600682123,0.6017353579175705
