hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,auc
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.5018497906648666
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.5304058728238501
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.5948079182657545
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.5239707768280165
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.5105679479594881
"(64,)",427,0.020180654458047648,0.000864576260750469,0.05350724444807963,0.2064691502626213,87,1.5,0.5439822627661565
"(64,)",153,0.1615157704586882,0.00038419326064827327,0.09457056628884124,0.3280898948014245,82,1.5,0.5611057044455906
"(64,)",422,0.11804197901760397,0.000937444178926595,0.07430083524362348,0.2,92,3,0.5479004703719996
"(64, 32)",512,0.0,0.0006603081136397582,0.09757985652485665,0.2900707690464159,95,1.5,0.5087644549954745
"(64,)",147,0.2,0.0006707973781795481,0.033126175586860505,0.23878330413980875,95,3,0.48540885294206876
"(64,)",128,0.07237126662016102,0.001,0.0001,0.2449420166652889,80,1.5,0.585942240378927
"(64, 32)",177,0.2,0.00014819599552398096,0.027702264372639545,0.2036006924723609,95,1.5,0.6300745440387523
"(64,)",128,0.2,0.001,0.1,0.2,95,1.5,0.5232215441373522
"(64, 32)",128,0.2,0.0001,0.0001,0.2,89,1.5,0.6343449776001294
"(64, 32)",349,0.2,0.0001,0.0001,0.2,95,1.5,0.6146186728582336
"(64,)",128,0.0,0.0001,0.016595390089375425,0.35,80,1.5,0.6543246713969327
"(64, 32)",512,0.2,0.001,0.1,0.2,80,2.5,0.4956434732566783
"(64, 32)",128,0.2,0.0001,0.04121107294981367,0.2,80,1.5,0.631298138548003
"(64, 32)",128,0.0,0.0001,0.0001,0.2,95,1.5,0.6288114858749349
"(64,)",128,0.2,0.0002010602548714471,0.004190089506444255,0.35,80,1.5,0.663243544235952
"(64,)",473,0.14720095108539377,0.0001,0.09778597811224671,0.2732478153434168,87,3,0.4871997285975052
"(64,)",128,0.0,0.0002773394782865455,0.0001,0.35,80,1.5,0.6727183529142585
"(64, 32)",504,0.10774559340860346,0.0003374953460558418,0.0001,0.33512138883507625,80,1.5,0.5685564266265187
"(64, 32)",128,0.0,0.0003024459252290303,0.0001,0.35,80,1.5,0.6356895623808585
"(64,)",128,0.0,0.00024979898481908443,0.0001,0.2,95,1.5,0.6736712243829922
"(64,)",128,0.0,0.0002214397621032809,0.0001,0.35,80,1.5,0.6727801832567287
"(64,)",128,0.0,0.0002491146707492982,0.0001,0.2,80,1.5,0.6736373385742963
"(64,)",128,0.0,0.000228744426548419,0.0001,0.2,82,1,0.6777758789926631
"(64,)",128,0.0,0.00022126358850234798,0.0001,0.258675527608283,88,1,0.6751506887454557
"(64,)",128,0.0,0.00022464941426862385,0.0001,0.2,80,1,0.6772979697905132
