hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,auc
"(64, 32)",101,0.27635394201074476,0.004314901860928639,0.04916278144991648,0.7794677063882551,83,0.487122602632364
"(64, 32)",76,0.16040702266448148,0.003763902056025701,0.03248267424861616,0.24526975840001208,89,0.5674873368677599
"(64, 32)",118,0.17610287122563056,0.0005023589073815061,0.07126178512073739,0.428007763856144,81,0.5356136294110806
"(64,)",128,0.14309156752360874,0.0025032596881520265,0.06550665861623502,0.37405382394646636,80,0.4591969671687676
"(64, 32)",130,0.31080177555591226,0.00016789173025769392,0.017473260972046416,0.15477407736315305,77,0.6229642995742508
"(64, 32)",150,0.4,0.006,0.1,0.001,95,0.523300029011119
"(64, 32)",67,0.06966204229543872,0.004959339406522822,0.0001,0.001,75,0.5442666143960884
"(64, 32)",142,0.32467572484303936,0.0034038742060795548,0.008630176907177933,0.16577142674630269,81,0.4639256452603795
"(64, 32)",132,0.1453720955123409,0.0,0.03477968452179089,0.026214648607327133,77,0.5378042770226882
"(64, 32)",131,0.34723164388828937,0.0,0.05166564460563822,0.18120260101995883,87,0.5172163768082966
"(64, 32)",88,0.349399851346586,0.0,0.08983109084242144,0.47117620832423623,77,0.47062241807361116
"(64,)",85,0.34799883353110167,0.00014929889180909423,0.0001,0.867597955958544,84,0.6847257643386983
"(64,)",150,0.3913134475524947,0.00012769777662415498,0.0001,0.003252608709646303,91,0.6426289477875704
"(64,)",136,0.0348903779457759,0.00016579286814519966,0.0001,0.999,89,0.7028698965080474
"(64,)",78,0.3348000142402744,0.0001807148571507753,0.02281409648175042,0.31558122395807386,85,0.6489436302580283
"(64,)",111,0.0,0.00021322966326838593,0.0001,0.999,91,0.7217935602900353
"(64,)",129,0.005469178833890323,0.001450448015644658,0.0001,0.7511997083601939,76,0.4899047547264738
"(64,)",73,0.0,0.00027734860789419154,0.0001,0.999,79,0.7265181774570332
"(64,)",137,0.37957452065159736,0.005402311566219964,0.1,0.999,79,0.4397612160525664
"(64,)",80,0.0,0.0008647772018884803,0.0001,0.999,76,0.5710929954896875
"(64,)",150,0.0,0.00025935200536024113,0.0001,0.999,95,0.6672792579347622
"(64,)",64,0.0,0.0,0.0001,0.001,87,0.4793476306322022
"(64,)",64,0.09554744476361476,0.00024181342258711782,0.03442445246104871,0.999,77,0.7410205056151368
"(64, 32)",64,0.10403003957342478,0.00023822368170001203,0.0806217673557397,0.999,91,0.7574416364546517
"(64,)",72,0.3728198117896131,0.0019607507256934873,0.030873726590003914,0.044067007240279385,85,0.5241219949157856
"(64,)",64,0.13442666916340748,0.002959326302422013,0.02875906352428172,0.999,95,0.5465639047322887
"(64, 32)",150,0.20333677147228926,0.0010971891760662722,0.01007154402123382,0.001,94,0.5102751584550663
"(64,)",150,0.21558543055158333,0.004700634082454263,0.026521928498746104,0.999,90,0.35509284980204175
"(64,)",64,0.30721423074709414,0.0002527544982236275,0.06085665426400763,0.8100614462152588,95,0.6738054403116768
"(64, 32)",64,0.0,0.0001861378182839109,0.08679401340687799,0.999,82,0.7504947375473404
"(64,)",150,0.0027564055362808127,0.0038456848903436476,0.09157329220363962,0.999,86,0.3556721952125965
"(64,)",64,0.2960714128376299,0.00032174589336505887,0.06785422807761267,0.001,88,0.6043552547416431
"(64, 32)",64,0.044304732488240905,0.006,0.028623946802491817,0.999,84,0.6006825908635833
"(64, 32)",64,0.10532768310953898,0.0041024910327325,0.004681005011868501,0.001,88,0.5376433095555927
"(64, 32)",78,0.1525165556902597,0.0002189837996750828,0.06561204632352016,0.999,82,0.7575850329171913
"(64,)",150,0.020885813819973405,0.0020023029289620827,0.0555363150145991,0.999,95,0.379981450897259
"(64, 32)",64,0.27252923449001104,0.0002210712458198272,0.03252088501337128,0.999,79,0.7579866378198807
"(64, 32)",70,0.025669550210928368,0.00021337195881256674,0.1,0.999,95,0.755293020202863
"(64, 32)",64,0.2425733949605006,0.005493373961087552,0.012569552246012158,0.001,94,0.5759230544852834
"(64, 32)",64,0.2024064512970378,0.002918381480550602,0.0754993013032204,0.001,90,0.5763687212100986
