hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,auc
"(64,)",67,0.1005606360659417,0.004661623102861061,0.08442151166953284,0.4032922187029557,81,187,0.6849192271033377
"(64,)",103,0.056682773887828046,0.0018035319197054799,0.06455899766240145,0.45924527437585466,83,613,0.6895141396022634
"(64, 32)",127,0.10839392899403333,0.004858907734343073,0.019242000887003702,0.04151833416493752,90,155,-1.0
"(64, 32)",138,0.23049993173992822,0.004807681441509537,0.008973274086822755,0.30543476659250485,86,175,-1.0
"(64, 32)",96,0.3728676730166209,0.002160985985673788,0.02432800746882437,0.20621060563787266,90,650,0.6867663552553737
"(64, 32)",119,0.3255158742470199,0.003242136728107771,0.0353406734198535,0.8475809264521504,94,183,0.6874157397645737
"(64,)",121,0.25593481617100833,0.0036616261847467494,0.021323170408501523,0.5413489554972316,91,373,0.700878652936001
"(64, 32)",124,0.1532356462338541,0.005301608535904532,0.035805065557768634,0.0838507052664661,89,472,-1.0
"(64, 32)",69,0.12242624936584144,0.0034911899207602623,0.05627497711305472,0.2751195959181384,82,185,0.6720186097795914
"(64, 32)",64,0.2714032861888477,0.00099,0.04845812024217992,0.17304205047653734,82,331,-1.0
"(64,)",150,0.37033745300658016,0.001857325398372855,0.09264271143272255,0.7755544157050874,94,396,0.6625200439022294
"(64, 32)",64,0.2289003043361818,0.00601,0.09139831133427878,0.25342836434607413,85,465,0.6601730506929802
"(64,)",97,0.014962408257734733,0.00292749447107223,0.05868934840014043,0.7797613331625036,77,669,0.6736461872816265
"(64, 32)",150,0.2547758904894372,0.00099,0.07760199378783075,0.6331230779990741,83,630,0.6594719644509502
"(64, 32)",150,0.053428071847856,0.003200337630668872,0.06698798346416408,0.88657636026843,78,494,0.6937475587048526
"(64,)",64,0.32110238848639294,0.002579258976263753,0.09200504465849063,0.8654815326174881,76,401,0.6717789125191511
"(64,)",64,0.06762192673026711,0.005347406766827878,0.0036520639707088515,0.6937143281866427,83,606,0.7163339710723117
"(64,)",120,0.17737375308790246,0.000996211427281309,0.0010874649601159928,0.2735597667545166,81,669,0.7143758232458071
"(64,)",127,0.0034105887129296086,0.0022882538689300838,0.011997678007969179,0.48893299887932756,92,523,0.7127552536039521
"(64, 32)",148,0.3658823390478585,0.005985266956381708,0.02796661595634296,0.22587384227379348,80,699,0.6875432559577083
"(64,)",131,0.35101149961642686,0.0026315555149730484,0.019656229172649614,0.9713089385600272,86,415,0.6989199125621305
"(64,)",118,0.3096567859488488,0.0015228540782160184,0.1,0.08675001478304897,81,700,0.684015742482391
"(64, 32)",72,0.016236719763241262,0.004776227748062497,0.07920214207798876,0.999,82,150,0.7573409587068752
"(64, 32)",65,0.20785392484334794,0.0015718461854480714,0.06077953157246403,0.6102376802583344,85,150,0.6613191558080387
"(64, 32)",141,0.11012514160231526,0.004307939541139097,0.1,0.001,83,150,0.6566309605524627
"(64,)",98,0.25093734484443203,0.0009990939282954938,0.05685838534774779,0.7495589972317862,83,336,0.6739343944197523
"(64, 32)",122,0.3387044421158466,0.001887975166750629,0.1,0.999,83,354,0.7557470299945898
"(64, 32)",74,0.3651072404229888,0.0023288683963585168,0.0001,0.999,81,700,0.7308148727176657
"(64, 32)",99,0.3182380709107907,0.004565388650304489,0.012924764800764595,0.5678090846284098,82,700,0.702898891825817
"(64,)",86,0.1721689687449374,0.00496760056260735,0.0764632997739777,0.1549967461727255,93,349,0.6919638568228591
"(64,)",121,0.0831694884767021,0.005602586183223037,0.0001,0.999,76,150,0.7678106781143658
"(64,)",74,0.051973844989544715,0.001775847325015665,0.03464477432920196,0.001,85,150,0.7025807412941361
"(64,)",95,0.1678032009466356,0.0031288905478412863,0.0001,0.001,95,221,0.7085973724395633
"(64, 32)",129,0.3910836482992855,0.00377726403637001,0.03129590476014435,0.854690570415588,76,341,0.6854174409285582
"(64, 32)",76,0.14729735365080487,0.0033227806243468477,0.1,0.733979475986002,77,150,0.6658786260738537
"(64, 32)",89,0.0,0.0020681574817494027,0.07261214170836941,0.3121157031860486,91,150,0.6654552549312582
"(64,)",69,0.4,0.005484607655842685,0.04198058832929758,0.001,89,700,0.6999596988784896
"(64,)",107,0.4,0.002225105011701852,0.0001,0.001,93,150,-1.0
"(64,)",73,0.0,0.0053385819288098695,0.1,0.001,93,700,0.6901218719819587
"(64,)",134,0.09118046222094967,0.0021450596750499616,0.1,0.999,94,700,0.757000070157608
"(64,)",74,0.4,0.0027494018942479585,0.055547048043312175,0.999,85,700,0.7526962722292169
"(64,)",108,0.19451571486817176,0.003660328446240465,0.030521498491277436,0.999,84,700,0.7488228217010754
"(64, 32)",142,0.4,0.004491858996662781,0.06528635140579998,0.999,90,700,0.7582732727323291
"(64, 32)",145,0.4,0.0032849363557790573,0.1,0.17369988384661902,77,700,0.6572081648918688
"(64,)",88,0.4,0.0037200289033219687,0.08837142406588526,0.001,82,150,0.685925032803422
"(64,)",103,0.19959824446887287,0.002464728993271313,0.04129549575447282,0.001,80,700,0.7002482378431404
"(64,)",139,0.35566874518394176,0.0030915062238114433,0.013059522041904121,0.555283571441776,91,691,0.7037539297741304
"(64,)",144,0.0,0.0015107089713268201,0.1,0.999,79,150,0.7585072262336364
"(64,)",147,0.0,0.002034984160794298,0.04358558335893694,0.999,81,150,0.7513959230845076
"(64, 32)",75,0.0,0.004766085199995283,0.1,0.001,88,700,-1.0
"(64,)",166,0.0026527479003506773,0.0026840170025906,0.06131334494132894,0.09905711867395105,82,510,0.697095344663471
"(64, 32)",192,0.11627531396445488,0.0011701939749128982,0.05366408535461076,0.999,82,700,0.7563886086798235
"(64, 32)",114,0.2477852057531408,0.004246852117153732,0.014212234312068568,0.5741239794949569,87,568,0.7006980207969904
"(64, 32)",177,0.3969274971997788,0.003926142084048005,0.03278193044002881,0.001,81,399,0.6829845994569421
"(64,)",164,0.028413837066894126,0.0013703467048382027,0.05838846687722423,0.001,82,150,0.6965700040198415
"(64, 32)",148,0.1403992276957393,0.003931381832146643,0.02372392415371928,0.8319156280057963,84,610,0.6840548940620118
"(64,)",120,0.05712444559101233,0.00601,0.006004635341124086,0.4935917404797717,94,150,0.7149159578220046
"(64, 32)",128,0.16079991163039706,0.0026265307949558427,0.054406333751483765,0.5910793029271928,79,303,0.662489843738149
"(64,)",115,0.14197886974102122,0.0038478781599372157,0.007451160997359586,0.001,95,472,0.7094977521123128
"(64,)",186,0.3134251549454925,0.004308226610722948,0.06223572259448803,0.999,82,700,0.7551619526758491
"(64, 32)",122,0.12966156411898314,0.004579937529359075,0.1,0.3353505975002361,78,150,-1.0
"(64, 32)",112,0.02030385441751457,0.003763370704673133,0.06119222664555916,0.001,84,150,0.6799616716661863
"(64, 32)",69,0.4,0.00601,0.045027324135489905,0.7330401809597685,91,700,0.6697416754205664
"(64, 32)",93,0.01596444728501069,0.0018321245961692603,0.07551474274556726,0.8104273184359408,86,700,0.6701825069588763
"(64,)",173,0.20058314767026883,0.004899029754393805,0.08723486674858222,0.999,86,150,0.7576664963290506
"(64, 32)",115,0.23077456180578837,0.005125889483378882,0.05501939636999936,0.999,81,700,0.7551298484595665
"(64,)",168,0.4,0.0053984802315379925,0.0908652550760701,0.7284306298743901,94,150,0.664386967086601
"(64,)",113,0.0,0.0018050067379316438,0.014753703174439659,0.001,84,700,0.7120596543505301
"(64, 32)",90,0.0136397925596214,0.002589350517744627,0.09813868546002187,0.3050073189307428,83,700,0.6502921614042141
"(64, 32)",93,0.4,0.0013374048984420752,0.006847701522344372,0.8957030212345249,77,700,0.6978774716335725
