hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,f1_score
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.2413793103448276
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.26831533728085455
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.3256704980842912
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.26843144084523396
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.25682108440729134
"(64, 32)",499,0.07500611943656155,0.0009104781346409273,0.09017918342381229,0.33683913994867914,80,1.5,0.2241959828166725
"(64,)",498,0.02916008320813255,0.00018271609662673846,0.09021275111809497,0.2614005208251582,92,1.5,0.23209102519447344
"(64,)",224,0.11344803922932885,0.00010401958413909393,0.06332105006559745,0.31918945398675225,95,1.5,0.32745238517978886
"(64, 32)",205,0.2,0.0009396756372706195,0.0001,0.27007397732093863,80,1.5,0.30813885986299777
"(64,)",128,0.16564722860344736,0.00015832224171631495,0.0917604391044261,0.20904267180078273,95,3,0.2598397770811564
"(64,)",158,0.03935240819853054,0.0001,0.1,0.32196062708605194,95,1.5,0.37896272715214224
"(64, 32)",128,0.2,0.001,0.1,0.2,80,1.5,0.28122081168829
"(64,)",153,0.0,0.0001,0.0001,0.35,95,1.5,0.3803496865642673
"(64,)",182,0.0,0.001,0.1,0.2533819365973673,80,1.5,0.2486938349007314
"(64,)",136,0.1388653051155146,0.0001,0.1,0.20785219379079264,92,1.5,0.38055445019233325
"(64, 32)",142,0.0,0.0001,0.0001,0.35,95,1.5,0.3676857448768338
"(64, 32)",194,0.14996683417576587,0.0001,0.0001,0.35,80,1.5,0.36420139906778726
"(64,)",378,0.05896620106579571,0.000499623921657718,0.07864478042465657,0.3352702102393267,94,1.5,0.24997097410890512
"(64, 32)",512,0.020951186161009654,0.001,0.04719191374354531,0.3374747375250581,85,3,0.22442818994543132
"(64,)",512,0.16346949612615422,0.0001,0.08025615668759492,0.22030375022846693,91,2,0.23673516776965053
"(64,)",150,0.12951194640548266,0.0001,0.0001,0.2730441295226539,82,1,0.3818808860591591
"(64,)",152,0.19944306471561762,0.0001,0.013709877305672738,0.2,80,2,0.3753032703181584
"(64, 32)",300,0.1756617847472122,0.0001,0.028775334384534012,0.21016021666852616,83,3,0.30848717055613606
"(64,)",151,0.2,0.0001,0.0001,0.29402775133024217,81,1,0.38095238095238093
"(64, 32)",142,0.014877095190877166,0.0001,0.1,0.22108118949561498,80,1,0.3848784464635404
"(64, 32)",128,0.0,0.0001,0.08007502615828303,0.35,80,1,0.38305081914970707
"(64,)",141,0.0,0.0001,0.07887477529135693,0.35,84,1,0.3776362912853164
"(64, 32)",128,0.0,0.001,0.0001,0.27820649527185204,80,1,0.3641080314790813
"(64, 32)",128,0.04502227634003275,0.001,0.0001,0.2220463659234639,80,1,0.37811663956859753
"(64,)",128,0.0,0.001,0.0001,0.2,93,3,0.24045048182979215
