hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,f1_score
"(64, 32)",101,0.13817697100537238,0.0007331927946470345,0.04916278144991648,0.3170041642868119,86,0.22410309996516892
"(64, 32)",76,0.08020351133224074,0.000645951158870736,0.03248267424861616,0.23671389154308797,90,0.2734238941135493
"(64, 32)",118,0.08805143561281528,0.00012954016033540515,0.07126178512073739,0.26417952362567293,84,0.22619296412399859
"(64,)",128,0.07154578376180437,0.00044634945062407085,0.06550665861623502,0.25607021402000996,84,0.21490769766631837
"(64, 32)",130,0.15540088777795613,7.658285729080153e-05,0.017473260972046416,0.223112336277027,81,0.3205851619644723
"(64, 32)",114,0.09075384313520712,0.001,0.0001,0.2460282495295197,95,0.16168582375478927
"(64,)",146,0.021130237582174707,0.0002888304748350731,0.0001,0.3325466468974493,80,0.2140020898641588
"(64, 32)",87,0.18658992121807116,0.0008166473422899964,0.03776990336326025,0.2501404485880942,81,0.24075235109717866
"(64, 32)",148,0.06423332821876433,0.00030315053094269294,0.02847382019318357,0.2302469491467503,81,0.22096830372692441
"(64,)",132,0.07927161274593182,5e-05,0.035276825209056534,0.24414161086582467,91,0.24583768721699753
"(64,)",141,0.2,5e-05,0.05187551840160215,0.3410676551759103,85,0.23114711797928106
"(64, 32)",111,0.05912920610284217,7.91874310656594e-05,0.0001,0.3414021090139773,92,0.2940438871473354
"(64,)",116,0.03267083675496375,8.20614646380937e-05,0.055212307818975064,0.2,83,0.2488331591779868
"(64, 32)",149,0.048305175938524895,8.617361966109863e-05,0.02394940022230081,0.24518286859497337,82,0.29188436084987807
"(64, 32)",103,0.2,6.650800790648087e-05,0.06925212477949072,0.2,83,0.27272727272727276
"(64, 32)",113,0.2,7.789010057158269e-05,0.0037320732481506257,0.2,80,0.2983629397422501
"(64, 32)",140,0.05648177977174637,5.8483232085434545e-05,0.037251648335900646,0.3077105563627636,94,0.29153605015673983
"(64, 32)",64,0.055174369019482486,0.0005960139448518019,0.02054815224600456,0.2956797560047009,95,0.2600487634970393
"(64, 32)",129,0.15593341819477186,8.696347389241572e-05,0.0136523414611355,0.20496813225948882,87,0.3318007662835249
"(64, 32)",133,0.2,5e-05,0.0001,0.2,95,0.3106234761407175
"(64, 32)",131,0.19025892157615262,0.0001029190216617836,0.0001,0.2,95,0.3043538836642285
"(64, 32)",64,0.09690677929459078,5e-05,0.05614873464775222,0.2334106351294073,94,0.34001061903134067
"(64,)",64,0.06600087520004792,5e-05,0.1,0.2786313002507318,94,0.24653430860327413
"(64, 32)",70,0.2,5e-05,0.04203427720837761,0.2,95,0.33674677812608844
"(64,)",64,0.08046243990439417,0.001,0.1,0.21356204773342288,87,0.19470567746429815
"(64,)",64,0.16672962552597714,5e-05,0.04605493113401158,0.2843847738730388,95,0.3273955854495668
"(64, 32)",64,0.057461132102309055,0.00024036510854790654,0.051367695133449326,0.2274672045889217,82,0.2604667363288053
"(64, 32)",64,0.0,5e-05,0.02417942880457728,0.3212996910768824,95,0.3604913384569518
"(64, 32)",64,0.19527523006204628,5e-05,0.024248450729658793,0.2,80,0.3540427602780535
"(64,)",64,0.0,5e-05,0.00665871510502443,0.35,95,0.3547662445351821
"(64, 32)",64,0.0,5e-05,0.0001,0.35,95,0.36515105082966
"(64, 32)",64,0.2,5e-05,0.0001,0.35,80,0.34702470743113994
"(64,)",64,0.0,0.00012441289382022127,0.0001,0.2,95,0.2789272030651341
"(64,)",150,0.048958570420144065,0.0006144438951427172,0.0001,0.24387809858437218,89,0.19881574364332982
"(64, 32)",64,0.12498170274513253,0.0005888546649108994,0.1,0.32426130541067844,87,0.2679205851619645
"(64, 32)",64,0.0,5e-05,0.0001,0.2,80,0.36083012401904097
"(64, 32)",64,0.1898712621004818,0.0003829068358889974,0.1,0.3095190357316455,95,0.2683385579937304
"(64,)",150,0.2,0.001,0.1,0.28279565202287066,95,0.15778474399164052
"(64, 32)",64,0.017140645104482332,6.25615893953795e-05,0.017744093845113846,0.28234868272734104,88,0.3361547192495228
"(64,)",64,0.09753653232162628,0.0007651472160220463,0.0001,0.345883637405967,87,0.20097526994078718
