hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,f1_score
"(64,)",110,0.06675572935866413,9.799499310237357e-06,0.005230946642910625,0.3188031485672596,92,226,-1.0
"(64,)",128,0.29310145027408646,1.6935097991781722e-06,0.08283114748994727,0.33165195988298396,79,500,-1.0
"(64, 32)",130,0.2523556560069768,8.688650082498489e-06,0.06487531374865535,0.08532582176896217,89,471,-1.0
"(64,)",112,0.07850110609698845,1.1553424757396455e-06,0.010211505158032203,0.8142837078487262,78,430,0.2475095785440613
"(64,)",80,0.22574181619776273,6.918398510528205e-06,0.09716555201618418,0.5324014022560818,83,607,-1.0
"(64, 32)",132,0.00877545749046247,8.079746336309359e-06,0.05407422576567876,0.24485153923403633,77,216,-1.0
"(64,)",98,0.13870405306280492,7.851403477158371e-06,0.05651074924367253,0.5829957656537417,91,372,-1.0
"(64, 32)",68,0.11640302963857728,1e-07,0.00010000000000000003,0.9355707536241984,89,629,0.1832887376447073
"(64, 32)",75,0.253596077538438,3.4932758037539754e-06,0.0001,0.25526035672112657,91,300,-1.0
"(64,)",105,0.13319303821515713,8.313154630282098e-06,0.050091676848967336,0.999,91,380,0.43119527672404434
"(64,)",140,0.19403200112064659,1.0948998919765557e-06,0.07099461352813889,0.9133282939886481,77,154,-1.0
"(64,)",123,0.3136434458249023,5.382018711986741e-06,0.0641080427925047,0.999,79,496,0.39294536160737603
"(64,)",70,0.3455205275977088,1.0053043861235166e-06,0.030150702603355107,0.0010078412723226182,78,700,-1.0
"(64, 32)",134,0.07213231731203723,2.856612898623457e-06,0.06767286819846136,0.7859255155254282,95,700,0.2944736135591961
"(64, 32)",69,0.03866642837510838,8.585926932869157e-06,0.010651677705068785,0.8247365526683447,87,563,-1.0
"(64,)",105,0.04017077519975298,3.999734050522237e-07,0.017177415043046308,0.999,91,698,0.22264019505398816
"(64, 32)",150,0.03606493099926197,1e-07,0.0059388601133515415,0.999,84,526,0.17784555490827703
"(64,)",150,0.3418080042934384,1e-05,0.08083909191586114,0.999,95,372,-1.0
"(64, 32)",95,0.38746142621025786,7.88285988734297e-07,0.08433408299672578,0.999,93,413,0.2007591718448587
"(64,)",134,0.31021777516997506,1e-07,0.010449048093435309,0.999,85,700,0.19916405433646817
"(64,)",114,0.027471917242996465,8.644156720734223e-06,0.025693826659724393,0.999,90,700,0.40958725586935846
"(64, 32)",108,0.0,4.920525989242598e-06,0.09885728980618542,0.999,88,521,-1.0
"(64, 32)",105,0.4,3.0783770775074145e-06,0.053149628298810356,0.999,95,700,0.30004927080528676
"(64,)",143,0.16823680825820364,6.195209753396854e-06,0.03827360446944609,0.999,82,568,-1.0
"(64, 32)",104,0.29328707150722455,5.03143587322836e-06,0.0001,0.999,89,150,-1.0
"(64, 32)",143,0.03837685861776309,2.5613421739100185e-07,0.03685698361926441,0.7498331328504891,91,699,0.18780912574016023
"(64,)",117,0.19245919636702213,4.71496233689932e-06,0.08272085369889377,0.999,81,455,0.3928501815088753
"(64,)",114,0.4,1e-07,0.029334469431601406,0.9611755585258235,88,700,0.1986067572274469
"(64, 32)",123,0.4,1e-07,0.03932079551865772,0.987577023877571,95,700,0.17766653457749415
"(64,)",78,0.32845526517642876,7.828283165409344e-06,0.005629517605828489,0.999,78,385,0.4396561215843338
