hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,precision
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.21074537170030114
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.27633799989607666
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.47294938917975565
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.3071678478210718
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.28089606941399947
"(64, 32)",479,4.627917271992593e-19,0.0008655661882114931,0.07395982586257735,0.20176053837424954,80,1.5,0.2076018191610998
"(64,)",512,0.0,0.00014728106294432518,0.029280503547005753,0.34983639467584837,80,1.5,0.19334322128064999
"(64,)",144,0.15062785621840333,0.0009658275026641134,0.09700975300449025,0.2,93,1.5,0.26315311102208233
"(64, 32)",234,0.0,0.00045848095691803953,0.02575112257614477,0.267727526715666,91,1.5,0.41244909831297266
"(64,)",231,0.2,0.000495656081281522,0.010098304913567516,0.3431686712376149,91,1.5,0.4107038976148924
"(64, 32)",128,0.17236992732250606,0.00013469182005821924,0.05996079551270443,0.2,91,1.5,0.7254217568353694
"(64, 32)",128,0.2,0.0001,0.055998206624461165,0.23362652490370048,92,1.5,0.7376381617219313
"(64,)",128,0.2,0.0001,0.05015744921658131,0.2,80,1.5,0.6986620127981386
"(64, 32)",128,0.0,0.0001,0.07907464488988754,0.2,91,3,0.5852239674229204
"(64, 32)",512,0.016392419401015358,0.001,0.09075471738315387,0.2377393061677776,89,2.5,0.1979464034972707
"(64, 32)",128,0.2,0.0001,0.09582753798410275,0.2,95,1.5,0.7271669575334497
"(64, 32)",128,0.0,0.0001,0.0001,0.35,80,1,0.7626527050610821
"(64, 32)",128,0.2,0.0001,0.0001,0.35,95,1.5,0.7353112274578244
"(64, 32)",128,0.2,0.0001,0.0001,0.32411710358852164,80,1.5,0.735892961023851
"(64, 32)",128,0.2,0.0001,0.03948211663176991,0.2,80,1,0.7533449680046539
"(64, 32)",128,0.0,0.0001,0.033282814714919756,0.2,80,1,0.7550901687027342
"(64, 32)",128,0.2,0.0001,0.0001,0.35,80,1,0.7504363001745201
"(64, 32)",128,0.0,0.0001,0.0001,0.3231928820741576,80,1,0.7597440372309482
"(64, 32)",128,0.0,0.0001,0.0001,0.35,95,1,0.7626527050610821
"(64, 32)",128,0.0,0.0001,0.0001,0.2,95,1,0.7556719022687609
"(64, 32)",128,0.069966624168105,0.0001,0.032840607281065144,0.35,95,1,0.7574171029668412
"(64, 32)",128,0.0,0.0001,0.006388597304057927,0.35,80,1,0.7684700407213496
"(64, 32)",128,0.0,0.0001,0.1,0.35,80,1,0.7626527050610821
"(64, 32)",128,0.0,0.0001,0.003248767380034316,0.35,80,1,0.7626527050610821
"(64, 32)",128,0.0,0.0001,0.00020544840119538096,0.35,80,1,0.7626527050610821
