hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,precision
"(64, 32)",101,0.27635394201074476,0.003809781516216234,0.04916278144991648,0.7794677063882551,83,0.2577079697498546
"(64, 32)",76,0.16040702266448148,0.003356460679116331,0.03248267424861616,0.24526975840001208,89,0.4235020360674811
"(64, 32)",118,0.17610287122563056,0.000673110417964621,0.07126178512073739,0.428007763856144,81,0.2862305171301663
"(64,)",128,0.14309156752360874,0.0023192997792340396,0.06550665861623502,0.37405382394646636,80,0.18544219628522063
"(64, 32)",130,0.31080177555591226,0.0003979361994493947,0.017473260972046416,0.15477407736315305,77,0.38685282140779526
"(64, 32)",75,0.1356140769939779,0.0030572894116319784,0.04788064285399532,0.06874672833665998,94,0.3880162885398488
"(64, 32)",64,0.022912509015840642,0.0030268199452176212,0.0001,0.358435666003403,93,0.47934845840605006
"(64, 32)",64,0.4,0.005196152422706632,0.0001,0.001,75,0.37638161721931357
"(64, 32)",150,0.4,0.0002598076211353316,0.0001,0.19706790539905253,95,0.44386271087841767
"(64, 32)",64,0.0,0.005196152422706632,0.0001,0.26344988345407433,95,0.3100639906922629
"(64, 32)",64,0.21798615273694455,0.0028797890629105906,0.0017883427579307978,0.23185360234535246,84,0.45782431646305993
"(64, 32)",64,0.4,0.002945165328324554,0.0001,0.5240886524936873,75,0.5386852821407796
"(64, 32)",64,0.4,0.002889020036104214,0.0001,0.6705921182716186,75,0.5509016870273414
"(64, 32)",64,0.4,0.0031591667956226144,0.08289452702290018,0.7505491253060084,75,0.5549738219895288
"(64,)",64,0.4,0.0028654582864614353,0.08200004770934335,0.999,95,0.2595357594646788
"(64, 32)",64,0.4,0.0028770764603329607,0.0162232480949091,0.999,95,0.5462478184991274
"(64,)",150,0.4,0.005196152422706632,0.05238405489263235,0.001,75,0.23211169284467714
"(64, 32)",64,0.4,0.0018892681956109729,0.1,0.999,79,0.5241419429901105
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.999,77,0.612565445026178
"(64, 32)",64,0.0,0.001283295802384176,0.0001,0.999,95,0.6096567771960442
"(64, 32)",76,0.0,0.0002598076211353316,0.0001,0.999,85,0.6207097149505526
"(64, 32)",71,0.0,0.0002598076211353316,0.09936411938935867,0.6193774712977612,95,0.6515415939499709
"(64, 32)",70,0.0,0.0002598076211353316,0.0001,0.746736339931692,75,0.7638161721931356
"(64, 32)",70,0.17200018235177175,0.0002598076211353316,0.0001,0.6538672581003049,75,0.7521815008726002
"(64, 32)",64,0.3283591814914714,0.0002598076211353316,0.0001,0.6419225997303436,79,0.7568353694008144
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.6965941388551946,95,0.7673065735892961
"(64, 32)",64,0.4,0.0002598076211353316,0.02995812053415611,0.718502454736067,75,0.7667248400232692
"(64,)",64,0.35629174552634885,0.0002598076211353316,0.0001,0.0010000000000000167,77,0.6556137289121583
"(64, 32)",65,0.2539357633719239,0.0002598076211353316,0.010303631403050375,0.708818517693274,75,0.7579988365328679
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.6051744583590118,95,0.7417102966841186
"(64, 32)",66,0.3787337682114562,0.0,0.002391379601272772,0.7147244863163765,79,0.21719074310750663
"(64, 32)",114,0.26448000381449893,0.00028932477863728294,0.01127683531878636,0.7188260680349345,94,0.7388016288539849
"(64, 32)",64,0.17011490982181826,0.0002672731541737178,0.005283274128226986,0.7128892196374785,80,0.7614892379290286
"(64, 32)",70,0.19987324648861793,0.00025285051238540114,0.0001,0.7063244230210398,93,0.7597440372309482
"(64,)",104,0.30514515235975165,6.507757520982636e-05,0.009488524098448359,0.2804205063271728,90,0.7050610820244327
"(64,)",64,0.019328385456961045,0.00018422383850579143,0.0001,0.5566731847275409,90,0.6969168121000582
"(64,)",64,0.0837701383619412,0.00015198457937051004,0.1,0.3066514248080111,91,0.6812100058173357
"(64,)",64,0.10441502370587093,0.0003741302781648302,0.0001,0.7643368954089028,82,0.6969168121000582
"(64,)",64,0.22371739425598036,8.280779825225519e-05,0.018377956133631947,0.0754472124884165,86,0.685282140779523
"(64,)",103,0.22963839023242266,0.001335401311285671,0.0001,0.999,88,0.17660750654640675
