hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",76,0.240077966153906,9.678639140916324e-05,0.04232176125553911,0.516787992307025,92,291,-1.0
"(64,)",84,0.19467013364112204,0.0007936505163087917,0.02158279361614364,0.5524213409910239,94,535,-1.0
"(64, 32)",140,0.0471126836039277,0.0004430659318473968,0.07897754487225007,0.8595130683530585,75,657,-1.0
"(64,)",130,0.1878130352736947,0.0008084912627677711,0.0018636745039605747,0.2123086166299293,89,181,-1.0
"(64, 32)",91,0.04135504620176761,0.0006861843103079346,0.026781391605300527,0.04748968247658217,85,500,-1.0
"(64,)",135,0.1220740988309095,0.0009517040890950934,0.03019441574204146,0.6781677102784643,87,198,-1.0
"(64, 32)",76,0.03596999980939294,0.0005945794710665185,0.06595444798282228,0.17837180519047813,85,593,-1.0
"(64,)",148,0.38814805597116053,0.0008907643731360783,0.09487829256911509,0.9451280508372644,78,645,-1.0
"(64, 32)",68,0.3757767815721675,0.0001445221830030784,0.0019207103431438917,0.6639474939842643,75,208,-1.0
"(64, 32)",150,0.4,1e-06,0.1,0.001,95,150,-1.0
"(64,)",66,0.016112963019625063,0.0004024931752311429,0.09438673374556665,0.08585521011557477,75,212,-1.0
"(64, 32)",64,0.4,0.00101,0.1,0.999,95,150,-1.0
"(64,)",149,0.34511935564228324,3.8073711707117842e-06,0.09171789989267588,0.8104057571435027,94,671,-1.0
"(64, 32)",149,0.025499510438436,0.00011380894128034756,0.0030031378263980922,0.7645040465971565,77,660,-1.0
"(64,)",133,0.38826830651809024,3.257543025199007e-05,0.003658979230819784,0.020427456665848193,77,651,-1.0
"(64, 32)",64,0.4,0.00101,0.0001,0.0010000000000000113,95,700,-1.0
"(64, 32)",148,0.015777487771156954,0.0008334208791056864,0.008823072005721562,0.003098806482936735,76,184,-1.0
"(64,)",70,0.0005282239025524939,9.537142362923514e-05,0.0017798618285113268,0.9422367124080544,80,174,0.6254799301919721
