hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,c2,recall
"(64, 32)",293,0.13817697100537238,0.0007472352791392958,0.04916278144991648,0.3170041642868119,86,2,0.2517715112075199
"(64,)",282,0.12546340186752336,0.000391735804041587,0.0245514517676966,0.30421327657779035,89,2.5,0.3554591467823572
"(64,)",160,0.14246603627775253,0.00048507714175403764,0.029848271724270552,0.27381271651885136,91,1.5,0.3068691250903832
"(64,)",379,0.0747602853600133,0.00031106158766405756,0.09880072912301509,0.3148993925289493,92,1,0.29833694866232824
"(64,)",187,0.01541729615965666,0.0009008791296460941,0.07506283260620818,0.30401048654037716,88,2,0.31641359363702093
"(64,)",495,0.12071068789149403,0.00015183398047086846,0.09496760157340868,0.2386818488433609,86,2.5,0.3114967462039046
"(64,)",196,0.10376147803351934,0.000881706613248513,0.07746342326155245,0.25495226797621434,83,2.5,0.3464931308749097
"(64, 32)",380,0.11271073892134198,0.0008610486165191055,0.07357247275587354,0.2989198659199031,84,2.5,0.2686912509038322
"(64,)",224,0.2,0.0004080338790595231,0.0494468258375094,0.3116965112989401,88,2.5,0.34692697035430226
"(64,)",282,0.0,0.001,0.07470110066115557,0.2,80,2.5,0.24685466377440346
"(64,)",206,0.06311438684751662,0.0007714403375191508,0.017838084287922152,0.2822131449021743,86,2.5,0.3462039045553145
"(64, 32)",477,0.02023876352325454,0.0008219678981754088,0.055207100785138685,0.20007099675582218,91,1,0.2847433116413594
"(64,)",128,0.18677477909995188,0.0003439650130132866,0.02781130876650683,0.2748497560981508,90,3,0.29052783803326104
"(64,)",289,0.15063716547713543,0.0006197369090125956,0.09599293870813376,0.27426366378068,82,2.5,0.35965292841648594
"(64,)",128,0.14455246376406566,0.001,0.0001,0.2817918462099199,93,2.5,0.25813449023861174
"(64,)",419,0.09131803441681366,0.0001,0.0009967245804365608,0.3118564305991752,85,2.5,0.31395516992046274
"(64,)",224,0.18038022420804845,0.0008440409352385767,0.0067152643433662515,0.2776265636105467,82,2.5,0.3699204627621113
"(64,)",237,0.2,0.0001,0.037027484992204075,0.28547175815849424,80,1,0.39002169197396963
"(64,)",278,0.11184498677283083,0.0001,0.01917198117635493,0.35,80,1.5,0.330296456977585
"(64,)",355,0.2,0.0001,0.0001,0.21909566746864584,80,1,0.3311641359363702
"(64, 32)",128,0.2,0.0001,0.012668071138192159,0.2,80,1,0.4475777295733912
"(64, 32)",128,0.1336069035761013,0.0009688987852757886,0.1,0.35,80,1,0.33984092552422274
"(64, 32)",128,0.2,0.0001,0.00010210360729530994,0.2,80,1,0.4494577006507592
"(64, 32)",128,0.2,0.0001,0.0001,0.2,80,2.5,0.3945046999276934
"(64, 32)",128,0.2,0.0001,0.0001,0.2636466228847002,80,1,0.4519161243673174
"(64, 32)",128,0.2,0.0001,0.0001,0.35,80,1,0.45075921908893707
"(64, 32)",349,0.13728078320785483,0.0007525850678400692,0.005054650387566345,0.23501072679811197,83,1,0.3569052783803326
"(64, 32)",261,0.2,0.0001,0.0001,0.35,80,1,0.4276211135213304
"(64, 32)",128,0.09142293770488633,0.0001,0.0001,0.26933741486025914,80,1,0.46030368763557483
"(64, 32)",128,0.0,0.0001,0.0001,0.35,80,1,0.4616052060737527
"(64, 32)",128,0.0,0.0001,0.0001,0.2719898531553525,95,1,0.4513376717281273
"(64, 32)",128,0.0,0.00016818435494798007,0.0001,0.35,80,1,0.4598698481561822
"(64, 32)",128,0.2,0.00026228190239208966,0.0001,0.35,80,1,0.45827910339840927
"(64, 32)",180,0.04463546377098418,0.00013937356138355573,0.0001,0.3376433222754754,80,1,0.4568329718004338
"(64, 32)",128,0.0,0.0001,0.0001,0.35,87,1,0.4616052060737527
"(64, 32)",176,0.2,0.00030895871900384753,0.0001,0.35,80,1,0.4357194504699928
"(64, 32)",128,0.2,0.0002139681051940998,0.00026468540574115787,0.35,91,1,0.45480838756326825
"(64,)",128,0.2,0.0007300581149646194,0.1,0.35,80,1,0.3158351409978308
"(64, 32)",512,0.0,0.0001,0.008532702087616934,0.3463804427481758,80,3,0.30310918293564715
"(64, 32)",229,0.0,0.0001,0.1,0.35,80,1,0.45061460592913954
