hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,recall
"(64, 32)",101,0.13817697100537238,0.003809781516216234,0.04916278144991648,0.3170041642868119,86,0.28994938539407084
"(64, 32)",76,0.08020351133224074,0.003356460679116331,0.03248267424861616,0.23671389154308797,90,0.3916124367317426
"(64, 32)",118,0.08805143561281528,0.000673110417964621,0.07126178512073739,0.26417952362567293,84,0.36861894432393355
"(64,)",128,0.07154578376180437,0.0023192997792340396,0.06550665861623502,0.25607021402000996,84,0.2689804772234274
"(64, 32)",130,0.15540088777795613,0.0003979361994493947,0.017473260972046416,0.223112336277027,81,0.3992769342010123
"(64, 32)",64,0.0,0.005196152422706632,0.1,0.2,95,0.39320318148951555
"(64,)",93,0.05695630036791852,0.005196152422706632,0.030363712898145174,0.35,92,0.2448300795372379
"(64, 32)",134,0.17116422581780869,0.0002598076211353316,0.0001,0.20825550988149485,80,0.4280549530007231
"(64, 32)",102,0.16465718148983846,0.0002598076211353316,0.1,0.2,92,0.4225596529284165
"(64, 32)",64,0.0,0.0002598076211353316,0.00010000000000000091,0.2,80,0.4688358640636298
"(64, 32)",64,0.2,0.0002598076211353316,0.0001,0.2,95,0.46218365871294287
"(64,)",68,0.11133942083566867,0.0006352375160966977,0.012765298195737193,0.20332736698530918,88,0.3936370209689082
"(64, 32)",65,0.036291375648279986,0.000302867322134976,0.012911446822510433,0.2679967800659746,84,0.46435285610990595
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.35,80,0.46767895878524945
"(64, 32)",150,0.0,0.0002598076211353316,0.1,0.2,95,0.32812725958062183
"(64, 32)",64,0.0,0.0002598076211353316,0.1,0.2,80,0.4429501084598699
"(64, 32)",85,0.0,0.0002598076211353316,0.0001,0.2,80,0.44887924801156903
"(64, 32)",64,0.0,0.001472956428504657,0.0001,0.2,80,0.3891540130151843
"(64, 32)",64,0.0,0.0030966610588336017,0.1,0.2,80,0.39190166305133767
"(64,)",150,0.2,0.0002598076211353316,0.0001,0.2,80,0.44497469269703543
"(64,)",119,0.0,0.0002598076211353316,0.0001,0.2,80,0.45234996384671006
"(64,)",92,0.0,0.0002598076211353316,0.1,0.2,80,0.3503976861894433
"(64, 32)",64,0.0,0.004259115663490723,0.0001,0.20081707550963523,84,0.3840925524222704
"(64, 32)",64,0.0,0.0002598076211353316,0.045789686767535004,0.2,84,0.45307302964569773
"(64,)",64,0.0759323047513783,0.0030021539463063055,0.0001,0.2811767758317004,83,0.3315979754157628
"(64, 32)",64,0.0963273327845794,0.0013260908244289284,0.1,0.22812038124920714,84,0.36789587852494576
"(64, 32)",150,0.04108458563170508,0.005196152422706632,0.1,0.265352598699322,82,0.2629067245119306
"(64,)",133,0.2,0.0002598076211353316,0.0001,0.2,95,0.44627621113521326
"(64, 32)",64,0.19070172544632488,0.0002598076211353316,0.0001,0.22032286533269557,80,0.4618944323933478
"(64,)",150,0.0,0.0010456530925710553,0.0001,0.2,90,0.3347794649313087
"(64, 32)",64,0.0,0.002799753744113535,0.0001,0.2,89,0.37194504699927694
"(64, 32)",64,0.0,0.0005424179315818727,0.0001,0.2,94,0.4686912509038322
"(64, 32)",69,0.0,0.0003905959981644528,0.0001,0.2,95,0.4600144613159798
"(64, 32)",64,0.2,0.004096482271074114,0.1,0.24711370964497764,88,0.40289226319595084
"(64, 32)",108,0.0,0.0002598076211353316,0.0001,0.2,95,0.4598698481561822
"(64, 32)",64,0.0,0.0004396931335926503,0.0001,0.35,80,0.45798987707881417
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.2,95,0.4688358640636298
"(64, 32)",106,0.0,0.0002598076211353316,0.0001,0.35,95,0.43731019522776576
"(64, 32)",64,0.0,0.0002598076211353316,0.1,0.35,95,0.45958062183658716
"(64,)",150,0.0,0.0002598076211353316,0.0001,0.35,80,0.40766449746926964
"(64,)",64,0.0008456731904292595,0.0042697116726938015,0.1,0.2,82,0.32306579898770793
"(64, 32)",82,0.0,0.0002598076211353316,0.1,0.35,95,0.43716558206796824
"(64, 32)",64,0.0,0.0002598076211353316,0.0001,0.27751125682405725,95,0.47028199566160517
"(64, 32)",64,0.0,0.0002598076211353316,0.03783927311676704,0.35,95,0.44511930585683296
"(64, 32)",64,0.0,0.0005082832139955472,0.01621566189912258,0.2,95,0.413882863340564
"(64, 32)",80,0.2,0.0002598076211353316,0.0001,0.35,95,0.45914678235719447
"(64, 32)",64,0.2,0.0002598076211353316,0.0001,0.35,80,0.46449746926970353
"(64, 32)",92,0.2,0.0002598076211353316,0.0001,0.2,93,0.4546637744034707
"(64, 32)",64,0.2,0.0002598076211353316,0.0001,0.35,95,0.46449746926970353
"(64,)",99,0.2,0.0002598076211353316,0.0001,0.2,95,0.47317425885755604
