hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,recall
"(64, 32)",119,0.2181247067967163,0.001108415810274,0.0001,0.9750115259628344,89,700,0.5993492407809111
"(64, 32)",118,0.1467964814366316,0.00099,0.0001,0.9581575539125216,78,700,0.5852494577006507
"(64, 32)",115,0.2501607170092927,0.00099,0.0001,0.937705941994112,92,556,0.5715835140997831
"(64,)",124,0.4,0.0010494862834074,0.0001,0.8929607400511907,95,482,0.53470715835141
"(64, 32)",126,0.1322466409310144,0.00118539344506,0.0004443285631608,0.7198169264108313,82,685,0.5214750542299349
"(64, 32)",73,0.2889208055087688,0.00099,0.0001,0.851718949787456,94,603,0.5201735357917571
"(64,)",125,0.3185021194466295,0.00099,0.0001,0.8724679770540695,93,700,0.5164859002169198
"(64, 32)",66,0.3722715110560302,0.014091542750599971,0.088437130087816,0.05766684471303145,87,188,-1.0
"(64, 32)",64,0.35410171343952773,0.01027743861598752,0.0035304727315941965,0.999,91,512,-1.0
"(64, 32)",150,0.2516793253795128,0.0044926069475066666,0.1,0.999,75,150,-1.0
"(64, 32)",104,0.23477896055941228,0.00099,0.005891643666092544,0.999,75,150,0.609761388286334
"(64,)",91,0.17532430359080353,0.018009999999999998,0.05831963923809126,0.999,89,656,-1.0
"(64, 32)",150,0.18669643348938283,0.0045178679773092475,0.0001,0.999,75,151,0.5928416485900216
"(64, 32)",150,0.04312600875022441,0.00099,0.05978162919353065,0.001,89,153,-1.0
"(64, 32)",149,0.07930808578099055,0.018009999999999998,0.0001,0.0010000000000000148,75,363,-1.0
"(64, 32)",150,0.26537014609888254,0.004414339636033767,0.026818238826161512,0.999,82,655,-1.0
"(64,)",150,0.19766327983564466,0.018009999999999998,0.1,0.999,89,456,-1.0
"(64, 32)",77,0.017282969780578847,0.018009999999999998,0.030956523148872123,0.001,81,652,-1.0
"(64, 32)",128,0.24678722744622436,0.009423158891714195,0.06464577928578046,0.9800134450533774,82,440,-1.0
"(64,)",72,0.08580731292911777,0.0010406746765516052,0.08737688618099027,0.08813239702152914,92,633,-1.0
"(64,)",142,0.33374382678594167,0.005022415470077811,0.00013862703281161668,0.030484412447825134,89,191,-1.0
"(64, 32)",125,0.29091744658218877,0.00099,0.016591215405250995,0.3709848552753209,90,335,0.48503253796095447
"(64, 32)",129,0.061182210459953215,0.00099,0.006185977540222211,0.001,78,301,-1.0
"(64, 32)",64,0.014325179935446495,0.00099,0.014238014688286525,0.6490114053519427,75,150,-1.0
"(64,)",64,0.3725715412912585,0.013242436696002554,0.0010104954836248495,0.999,89,359,-1.0
"(64,)",99,0.0012121214462288608,0.005878374351593019,0.00679120251821288,0.999,78,401,-1.0
"(64, 32)",64,0.00018955208955128666,0.00099,0.0030549999858451053,0.999,75,508,0.6366594360086768
"(64, 32)",119,0.3894335875806541,0.00099,0.0187950296153096,0.022992973430150943,92,451,-1.0
"(64, 32)",109,0.3771350992197356,0.00099,0.023231971821030147,0.3992387188919112,93,683,-1.0
"(64, 32)",74,0.18784065039223322,0.00099,0.004595354765718189,0.999,85,599,0.5772234273318873
"(64, 32)",67,0.23072298086663043,0.00099,0.004719083704067918,0.7424180333441633,78,418,0.5238611713665944
"(64, 32)",75,0.2314722099733698,0.01481626893096223,0.0026023298274842253,0.9575421865008139,81,476,-1.0
"(64,)",120,0.2600646230281079,0.00099,0.0001,0.30271421335737375,80,150,-1.0
"(64, 32)",93,0.16485671452223222,0.0058973331837770815,0.015015587686724029,0.2972012462580727,93,163,-1.0
"(64, 32)",144,0.31957554195326815,0.0019199148303244294,0.0001,0.5086864487560763,83,437,0.4741865509761388
"(64, 32)",93,0.009140360783679899,0.0018512633487538926,0.0001,0.999,88,274,0.6067245119305857
"(64, 32)",112,0.15601167901118373,0.00099,0.061262404884708146,0.5376386898944195,89,415,0.4882863340563991
"(64,)",103,0.17917858876339054,0.009726506526049504,0.1,0.001,77,700,-1.0
"(64, 32)",64,0.4,0.005263116491086798,0.0001,0.6537092892025395,87,212,0.49522776572668115
"(64, 32)",65,0.2145148216712105,0.00099,0.05595066275519041,0.6758560916024602,82,684,0.4848156182212581
"(64,)",98,0.29954037959552987,0.005339034100306329,0.05655852245595305,0.514409413640816,91,592,-1.0
"(64, 32)",72,0.24356529005249286,0.00099,0.06090052944665279,0.8107749913715524,76,530,0.5008676789587853
"(64, 32)",87,0.06373805475145092,0.00099,0.05414788198649172,0.999,77,398,0.6082429501084599
"(64, 32)",71,0.271520808811521,0.007215909365816189,0.0001,0.7822201909421175,88,150,0.5225596529284164
"(64, 32)",119,0.19611459984583363,0.018009999999999998,0.0001,0.5940231399048927,79,150,-1.0
"(64, 32)",146,0.35137179897179865,0.00099,0.048297797460207036,0.8985057568414981,76,689,-1.0
"(64, 32)",109,0.293634697276929,0.00099,0.05415707430100991,0.3089226957502215,88,498,-1.0
"(64,)",147,0.06610459262154823,0.00099,0.057230321532899336,0.9337230281994807,83,414,-1.0
