hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,auc
"(64,)",73,0.06516309561824178,8.783711818807382e-05,0.06398220818662088,0.0747085670947392,78,523,-1.0
"(64, 32)",82,0.012082632495498439,0.0009447361926746118,0.004379851269575281,0.12096721795540712,87,259,-1.0
"(64, 32)",71,0.33470492746498615,6.141768513608099e-05,0.013461275048360016,0.2228979477145811,90,170,-1.0
"(64,)",85,0.07804456222728617,0.0009644495567300128,0.07879156404076451,0.04652794417395701,88,294,-1.0
"(64,)",97,0.09046066619185378,0.0007743997591662945,0.04946118802117603,0.22420606860605882,85,570,-1.0
"(64, 32)",142,0.37146663526436685,1.582718642801279e-05,0.0975989119696553,0.8235386688269103,78,647,-1.0
"(64,)",143,0.3331802706879161,9.295126601921383e-05,0.00504394426656258,0.9288204938036547,95,181,-1.0
"(64, 32)",135,0.05153978262616411,0.0009824705314199274,0.09740111814680773,0.9963237861066124,80,698,-1.0
"(64,)",150,0.4,0.00101,0.0001,0.999,95,700,-1.0
"(64, 32)",148,0.3735124918878332,0.0007785922453687083,0.09482363481577773,0.12580078151643587,76,166,-1.0
"(64,)",68,0.3612806904547585,1.264126529619743e-05,0.09295499920892668,0.9932408336136512,77,695,-1.0
"(64, 32)",148,0.016993518429571045,6.186374872775114e-06,0.06185444174692696,0.03269125305469252,95,458,-1.0
"(64,)",149,0.04083863606704191,0.0009503755322992013,0.08183683733671467,0.9486983531919769,75,189,-1.0
"(64, 32)",64,0.0,1e-06,0.1,0.999,95,150,0.41342986798992765
"(64, 32)",150,0.4,0.00101,0.0001,0.999,75,203,-1.0
"(64,)",74,0.0,0.00101,0.0001,0.001,95,700,-1.0
"(64,)",64,0.0,0.00101,0.0001,0.999,75,700,-1.0
"(64,)",64,0.4,0.00101,0.0001,0.999,95,700,-1.0
"(64,)",150,0.4,0.00101,0.1,0.001,95,700,-1.0
"(64,)",150,0.4,0.00101,0.1,0.999,95,700,-1.0
"(64, 32)",150,0.0,9.006507066566691e-05,0.0001,0.999,75,700,-1.0
"(64,)",64,0.33598876951693835,0.00101,0.03973418456105618,0.9189663800753076,84,150,-1.0
"(64, 32)",131,0.26786562244930995,0.0003997152208065566,0.0012109168011974476,0.2945707753338837,80,152,-1.0
"(64, 32)",67,0.046386964751084975,0.00011829886737464076,0.072638073642825,0.9065702265754968,86,150,-1.0
"(64, 32)",150,0.4,0.00101,0.1,0.001,95,700,-1.0
"(64,)",85,0.001651482116923436,1e-06,0.06290719971456482,0.719511707408177,90,619,0.502822104007706
"(64, 32)",107,0.003308574928311397,1e-06,0.09765630967011424,0.8465320148181846,84,294,-1.0
"(64,)",76,0.0,1e-06,0.03387222080072227,0.5651271220183991,84,695,0.514848450085706
"(64, 32)",81,0.0,1e-06,0.1,0.999,95,150,0.40981922564962153
"(64,)",64,0.0,1.794991015104018e-06,0.05382895065433051,0.6983458930055387,90,700,0.5624511077317477
"(64,)",150,0.0,1e-06,0.1,0.6471795823280628,85,220,0.4669491584879329
"(64,)",64,0.0,1e-06,0.04179937190648352,0.6840314897818124,90,700,0.5226082986969647
"(64,)",64,0.0,1e-06,0.1,0.6993399062038128,89,700,0.5226347737132715
"(64,)",65,0.0,7.2409253057742756e-06,0.006468510063956723,0.7019177356335872,91,686,-1.0
"(64,)",65,0.0004444319842877068,0.00023607177125516132,0.057241956213594014,0.6165782349536209,77,675,-1.0
"(64,)",64,0.0,0.0007604143864294338,0.1,0.001,75,495,-1.0
"(64,)",65,0.0,1e-06,0.048201134649844324,0.6899263523508093,89,700,0.522083894278173
"(64,)",102,0.0,1.0039677366026252e-05,0.07786049015900226,0.683227973399406,90,700,-1.0
"(64, 32)",110,0.0,0.0005864858491031402,0.03755432296806811,0.19108971613795642,89,697,-1.0
"(64, 32)",135,0.0,0.0002777295884551179,0.05373087629984168,0.7881015840338247,92,700,-1.0
"(64,)",93,0.3591133245978622,0.0003452457588519103,0.054920744859108,0.7045286892075909,92,678,-1.0
"(64,)",121,0.18372047292047444,1e-06,0.05302061985436463,0.6931339925951262,94,695,0.4920713559759113
"(64,)",97,0.030046763217033125,1e-06,0.05864570137024476,0.6780642982850104,91,518,0.4909840979248517
