hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,auc
"(64,)",77,0.349106152097442,0.014128626545346447,0.08024147628667373,0.8156697689773108,569,0.6603850562398556
"(64,)",149,0.06599210843410061,0.014599208385778531,0.030138725322698248,0.5176618024049029,230,0.7005032623287775
"(64, 32)",133,0.36414580932872936,0.004727412244079605,0.03597462099129698,0.4068540200256259,476,0.6745965700514237
"(64, 32)",81,0.3023367009599537,0.014284861755634183,0.08794012826155036,0.03866326706533981,611,0.6582633692906876
"(64,)",95,0.2810509321528513,0.009808150476108054,0.04117695243447155,0.8212775073251095,275,0.676165659178132
"(64,)",116,0.14269160827955266,0.013750536963835713,0.054611215474427974,0.9002667024149128,600,0.6655924928515087
"(64,)",84,0.32379377106022084,0.01709788234936496,0.056221970636930484,0.3060560287371085,690,0.6985917637812296
"(64, 32)",143,0.11016834770292093,0.010708329854249047,0.09989014499621557,0.9944839352293318,514,0.7374939678678155
"(64, 32)",103,0.1755372434719743,0.004594309086124045,0.0023711932475182647,0.9969241504152236,486,0.6128110636651851
"(64, 32)",64,0.21058993573395282,0.008540121268749316,0.0011063373929539487,0.39070631346398216,491,0.7032791097189146
"(64, 32)",150,0.2436668822466253,0.015466341135264731,0.08566840498339869,0.7947627504165019,204,0.6664531323475873
"(64, 32)",138,0.273021578212003,0.01574106500332157,0.00016891518285684282,0.07527607838960595,387,-1.0
"(64,)",120,0.0,0.015834268543081117,0.01519373289272456,0.18400286358111778,423,0.7118290823195242
"(64,)",78,0.2535185934606897,0.00099,0.0001,0.6733823839974675,690,0.7073167393208744
"(64,)",108,0.4,0.0012593844272718202,0.059812946892117795,0.566288744452247,150,-1.0
"(64, 32)",137,0.4,0.002303179266072804,0.09700185288250958,0.08640651018097856,700,0.6613059222502009
"(64, 32)",64,0.0,0.00099,0.0001,0.4500191271299849,150,-1.0
"(64, 32)",64,0.3365333525914258,0.012558484257600571,0.007886483888272166,0.12208166282887034,446,-1.0
"(64,)",107,0.3796669296428958,0.01620803770084994,0.018415875785935835,0.05166577762988585,252,0.7041677055997148
"(64, 32)",86,0.11877694034830447,0.009996935052012589,0.09391540384805859,0.6032557356656713,231,-1.0
"(64,)",98,0.0,0.00099,0.0001,0.999,667,0.5759750959452696
"(64, 32)",150,0.18143781484654573,0.00869364405171199,0.1,0.5049423328663658,563,0.6586578280721448
"(64, 32)",149,0.15583312929616708,0.018009999999999998,0.09841177361507791,0.7200482877433371,163,0.6472874366685375
"(64,)",133,0.3716338183516861,0.006981631648538829,0.0861749773005512,0.8210884573513991,700,0.6664132539098645
"(64,)",150,0.2291034273302023,0.008104421495390176,0.1,0.001,478,0.6901980696228933
"(64,)",74,0.03313144891817911,0.01285842277943701,0.1,0.3595731747569304,337,0.6864900030148811
"(64,)",138,0.3541960992641648,0.0029683937412859525,0.1,0.6399116965538838,415,0.6662667762010224
"(64, 32)",149,0.2503063048292339,0.012575130849034171,0.1,0.20369724180725904,700,0.6579833077036845
"(64, 32)",64,0.4,0.00099,0.018854614157375806,0.001,532,-1.0
"(64, 32)",99,0.25844790393344835,0.007264622257006784,0.04450565743701136,0.5615343891273791,383,0.6663178537839601
