hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,auc
"(64, 32)",78,0.0689773659434404,0.0213022990687881,0.0198730820020929,0.0199205524435962,0.6500324478937549
"(64,)",121,0.3993472870241147,0.0414323525671023,0.0068590841150013,0.0413663175160269,0.6456083707507243
"(64,)",68,0.1953234585316694,0.0693152205166865,0.0147584196192919,0.00505155645705,0.6456854019082869
"(64, 32)",146,0.2369438125568793,0.028535182518277,0.0002142066708377,0.0844962616711147,0.6385994360845229
"(64,)",145,0.0129928639760204,0.0311744796992466,0.0248987753555744,0.055743645113079,0.6363083635453484
"(64, 32)",115,0.06393860173148035,0.07659166065920162,0.05338575680579816,0.16430986081515767,0.5349431344143927
"(64, 32)",143,0.1926534889233245,0.021179329667891888,0.09996979868000248,0.14111507686344132,0.5120731881323666
"(64, 32)",87,0.2569997441525607,0.08337700691795442,0.002170497066583071,0.9961104563134612,0.5202417261426209
"(64, 32)",67,0.31042920411703495,0.05477032814434532,0.0992257186461275,0.9915643563878012,0.5535384795519015
"(64,)",79,0.04798412188661386,0.040843408179237414,0.0010243148712060432,0.5998091923069593,0.5747647468448038
"(64,)",137,0.01446584988969462,0.02237639908230323,0.048806159158285824,0.9931671777906311,0.525983889348179
"(64,)",82,0.11648072570688871,0.022260588779520696,0.0987271680939883,0.42894614481122784,0.5176549013621953
"(64,)",129,0.37957474376724454,0.09932165357779255,0.07560644860544843,0.9974888092815394,0.52892604108202
"(64,)",119,0.18485764142410327,0.09353926365896027,0.04791275794763854,0.5600462117941027,0.587566400857819
"(64,)",92,0.2891831488835417,0.020118880661053478,0.0992641186974869,0.7608572077400042,0.5556585666231816
"(64,)",143,0.33533950631327686,0.021911988538378866,0.0001643825388945482,0.3666809613945463,0.5906522334769352
"(64,)",137,0.11090536060797203,0.09802039905814632,0.0789035857324943,0.002262150168063937,0.5361963602422524
"(64, 32)",125,0.26096649442274295,0.0962860849114344,0.03303156269073905,0.7716459917743119,0.5791269027881012
"(64,)",134,0.3661586571163259,0.021277956362433112,0.06289211148229927,0.7400043570340549,0.569728402359571
"(64,)",84,0.07837783052610131,0.0485423336975075,0.04845107662300179,0.8769757407688694,0.572856128077454
"(64,)",102,0.2996143214355926,0.020816852490065065,0.04243938385543547,0.3637231784444295,0.5873712394573972
"(64, 32)",65,0.35919507906042414,0.09681519163669251,0.015288322184801624,0.2590009176605916,0.5495306669333919
"(64,)",148,0.3810369213253301,0.09507477927814013,0.09926677130237528,0.5939895732331124,0.5192875589703139
"(64,)",106,0.12341191020984653,0.03005030237648628,0.0009879077648157152,0.8183500530966585,0.5434682318765833
"(64,)",116,0.38166009575160853,0.09889028307994502,0.09941941581247837,0.29470694992729096,0.5128180438731551
"(64, 32)",81,0.040336890238235334,0.099711400689199,0.0012154514474257585,0.4856711744798096,0.5941243595748069
"(64, 32)",144,0.07628020242353124,0.09858332895743604,0.09588397206620548,0.8592309080516741,0.5754163356302049
"(64, 32)",118,0.19710502936108837,0.03060638558484411,0.016458717605607468,0.14661685320766926,0.6262215956494699
"(64, 32)",130,0.38056377089679305,0.09925167691824119,0.06733996031445509,0.40653918138543477,0.5120977195933134
"(64, 32)",78,0.03451581323736579,0.020801709283243718,0.06199942488182824,0.013445851346166403,0.5857725348133429
