hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,f1_score
"(64, 32)",105,0.3289382949302664,0.0023411186674640117,0.08460772934827898,0.7490933883152379,636,0.3969129651584248
"(64, 32)",129,0.35326310279704526,0.017746698072753628,0.028745884740370656,0.2666935663049219,553,0.4206128133704735
"(64,)",142,0.30122504848581705,0.015018604904393225,0.01074677297429103,0.37602260311183744,279,0.4566125290023202
"(64,)",121,0.37590630226306954,0.015110871529835977,0.015365766279555989,0.07587510089483619,601,0.4554524361948956
"(64,)",96,0.03418558148028815,0.01675738573523942,0.0493702782115816,0.16499319136582283,676,0.44886589733386395
"(64,)",74,0.2661383511670511,0.0009913679447231764,0.09804219543811155,0.3437193768267383,303,0.41285053008230416
"(64,)",77,0.060871446706391164,0.0063867545824834865,0.09211475706475841,0.5374478918150863,698,0.4202148826104258
"(64, 32)",83,0.11447870966237493,0.0032076661427104807,0.0062352567043638465,0.19518046120164656,203,-1.0
"(64, 32)",64,0.4,0.00099,0.1,0.999,150,0.5153203342618384
"(64, 32)",150,0.4,0.014322988663367236,0.1,0.999,564,0.5153203342618384
"(64,)",134,0.20890011849126094,0.016576163768307936,0.0001,0.001,700,0.428538283062645
"(64,)",64,0.4,0.00099,0.1,0.15795894322411067,355,0.4153605015673981
"(64,)",103,0.15810727221891718,0.018009999999999998,0.1,0.001,655,0.4339434938320732
"(64, 32)",138,0.26834502950682915,0.011200849896842526,0.05955744796487365,0.999,233,0.4888927282069151
"(64,)",87,0.023312988004586862,0.010723187668551421,0.09979193207488825,0.044040251925845146,297,0.42877039395145244
"(64, 32)",77,0.18028762295563672,0.011121946749860489,0.0005421080047385032,0.09491963695077742,368,0.44050935137286107
"(64,)",136,0.012246587950858782,0.008314965339659336,0.039644357395192925,0.8683529684759919,175,0.40171110226820533
"(64,)",120,0.2923795837113894,0.011667646800753577,0.028987104767767835,0.9395106710147771,335,0.4218066056506168
"(64,)",138,0.27513390521249537,0.003489990062533124,0.09811790095080036,0.8554363607071388,231,0.4010797631487287
"(64, 32)",72,0.24689538139314404,0.018008753615655945,0.07591821958924791,0.6789130549364268,517,0.3955067920585162
"(64,)",130,0.3691964174626867,0.013686532179161132,0.07194524553871887,0.018785185627366273,362,0.4321528054118583
"(64, 32)",127,0.10201766459780946,0.008044347030469162,0.09980280347988862,0.9409944614449512,588,0.46795541623127834
"(64,)",117,0.17128118780908208,0.008100590860458872,0.0007654980691343157,0.9925720531801003,549,0.4218066056506168
"(64, 32)",135,0.0012046547061661088,0.016297234381185702,0.09868443464165774,0.007731790428063371,558,0.40907282132908873
"(64, 32)",138,0.38094197798084917,0.005679285201458896,0.06427518169033167,0.9600215422095644,151,0.49164054336468127
"(64, 32)",141,0.11355889333714474,0.014792410079754627,0.045058445852282074,0.9877138708776487,467,0.48567449263828094
"(64,)",119,0.3970067314536936,0.008449736731201177,0.07475920354783348,0.9823800170503606,509,0.4836391368133963
"(64, 32)",129,0.36441185247599706,0.0010170897215525706,0.04844898537370901,0.7547480906936961,203,-1.0
"(64,)",117,0.10546138888584332,0.0046230917022359415,0.09701528980704356,0.6027127757615557,253,0.4035179380006966
"(64, 32)",73,0.3924043098257146,0.008601291263630805,0.016162666231344196,0.934081253068104,577,0.4239952248308794
