hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,f1_score
"(64,)",87,0.2553265715620507,0.0891775149120935,0.0107014106709822,0.0010745130916005,0.39173296420438863
"(64, 32)",73,0.1137182103253138,0.0963248498805838,0.0124815222254245,0.5676988319699625,0.37791710205503304
"(64,)",125,0.3935070892257726,0.0810692269239094,0.0160358849418087,0.2743115692031054,0.37077673284569834
"(64, 32)",82,0.0007883286493058,0.095044980569072,0.0315123202944421,0.3311251203656941,0.3643329850226402
"(64,)",149,0.0411799039722084,0.0207153305536677,0.0302164747069052,0.4095753839593143,0.35806339254615116
"(64,)",107,0.23479979350891528,0.020752829487343263,0.02617042314683127,0.9479294187044076,0.2770811563915012
"(64, 32)",143,0.04523207832492254,0.06931421644385967,0.08668990724410051,0.9986399638974144,0.266805990943922
"(64, 32)",144,0.006230144049249333,0.08588189448776094,0.09437689559826182,0.7401121531718946,0.26314872866597006
"(64,)",97,0.36534385094212046,0.08998076720330137,0.09965841654410636,0.0037664408251160074,0.2502612330198537
"(64,)",72,0.37698862377906867,0.08331399767039616,0.06276258674506925,0.005135500927183232,0.2671543016370602
"(64, 32)",149,0.3869146350376163,0.05093206388054873,0.09965288153918986,0.9722964705682313,0.28648554510623475
"(64,)",114,0.369040357325773,0.029604623879897426,0.001777274927868983,0.9911483095145787,0.2546151166840822
"(64, 32)",78,0.3930813217518978,0.05568599032739535,0.06833350912790963,0.6615604779884737,0.2594914663880181
"(64,)",78,0.0015626554780753925,0.07270595621879491,0.0009100771200068283,0.3071260356176366,0.29136189481017066
"(64,)",140,0.27837038016012733,0.09058872999525915,0.04731671641457603,0.996442941156355,0.2615813305468478
"(64,)",124,0.2417464736908595,0.07108215881557105,0.07927166203221112,0.002986992777413755,0.2607105538140021
"(64, 32)",131,0.3514489852328516,0.09266184157149779,0.04508844890036594,0.0022448814747324736,0.2514803204458377
"(64,)",145,0.32994734868545006,0.05134809651063718,0.05805536360821075,0.9918121689676636,0.26419366074538486
"(64,)",149,0.18311335270174278,0.06407288189626589,0.03764249422943081,0.9821904294622856,0.2624521072796935
"(64, 32)",88,0.0015698488234545675,0.08343289250582972,0.06059043131574086,0.06008833815175217,0.2673284569836294
"(64, 32)",138,0.1708296396197987,0.08765323444262545,0.02529431660676098,0.004585151403684972,0.3261929641239986
"(64, 32)",73,0.0842565221354717,0.09282745767001604,0.09956041781327903,0.3893531757667233,0.2507836990595611
"(64,)",113,0.12975533281002002,0.020524427888058732,0.011676583823136993,0.2095482060139047,0.38140020898641586
"(64,)",91,0.25829042129469204,0.07321255309673981,0.07652078474012877,0.9893921176847548,0.2678509230233368
"(64, 32)",104,0.03670855484560885,0.02412825269553456,0.08870291424228605,0.009443216119116887,0.2537443399512365
"(64, 32)",102,0.26381332819449965,0.06474543952753313,0.00013946401148907605,0.7430562819539158,0.35353535353535354
"(64, 32)",117,0.39199055997892024,0.05348846246338865,0.033553300527944786,0.9722562094663182,0.2725531173807036
"(64, 32)",78,0.09451521608364073,0.044789421505720906,0.03492595452269595,0.7007449208186464,0.29867641936607453
"(64,)",69,0.2029223007553903,0.023406741259543288,0.0646314181352272,0.37685717340807384,0.2770811563915012
"(64,)",98,0.16288172900867412,0.05765784891782501,0.09962171199491981,0.19713897137471156,0.25269940787182166
"(64, 32)",144,0.33540600596184295,0.04490782292133131,0.04878452666180002,0.5296764973503557,0.2514803204458377
"(64,)",109,0.11785651479971711,0.07668946839959487,0.08494376004611759,0.5298830117665116,0.26262626262626265
"(64, 32)",71,0.2718926984535141,0.08515863237824003,0.0001849592140087305,0.5089447016500732,0.37408568443051204
"(64, 32)",69,0.16252922656914165,0.08544373026163937,0.057730851379938664,0.8343120493920227,0.31940090560780215
"(64, 32)",83,0.0023311403405958503,0.07337619064326342,0.05644770287702885,0.9918657739386361,0.2676767676767677
"(64,)",76,0.3783263207182736,0.09755182349505281,0.038111140577235844,0.17422153672323493,0.3068617206548241
"(64, 32)",114,0.337400208902802,0.07707573614721672,0.0758290472858698,0.22353658633441775,0.2500870776732846
"(64, 32)",100,0.03458849683752195,0.0815758586232628,0.00048286190495171687,0.11026328104229657,0.3247997213514455
"(64,)",125,0.09922470463039657,0.0991807743134814,0.016774688594290522,0.7764188974540166,0.34186694531522116
"(64, 32)",125,0.11312009172870828,0.040859898219166364,0.09993760085839207,0.6032357013510168,0.2500870776732846
"(64,)",76,0.1739140213027632,0.021652626464829777,0.049966105658402246,0.2920059581590603,0.3045977011494253
"(64, 32)",105,0.3750586612880951,0.03048921494756795,0.07742827253256755,0.8342410309376552,0.3167885754092651
"(64, 32)",122,0.26487201144374406,0.06421691583975864,0.0005615504497619908,0.8681402552386157,0.3152211772901428
"(64, 32)",122,0.1643781022271767,0.02808997192300712,0.013554654958811755,0.42692776580718744,0.3688610240334378
"(64,)",145,0.2994117294605737,0.09037383962673465,0.038090748905136786,0.8423882660055034,0.3221873911529084
"(64,)",134,0.00935851058377293,0.022860674487731176,0.000202232440892887,0.01823155326415457,0.2584465343086033
"(64, 32)",72,0.023835386172719103,0.08502293483722219,0.0009693940209625984,0.9948589901259697,0.2520027864855451
"(64,)",150,0.03265287938905935,0.04319811574765604,0.02238779527978773,0.14890460622432847,0.3826192964123999
"(64,)",139,0.2879389620772656,0.04269495652150597,0.02671981653520507,0.5715040248333388,0.3510971786833856
"(64,)",78,0.009073627103048178,0.021965586947511717,0.000725665292925332,0.5914046891653503,0.30703587600139326
"(64, 32)",71,0.39082700596612174,0.05908644403833288,0.0023305706008947564,0.0018955381935294832,0.26802507836990597
"(64,)",138,0.394415088516309,0.06348327036789642,0.09951078989633419,0.6834110929544159,0.2661093695576454
"(64,)",80,0.005213139790827094,0.09527126883998567,0.0962642590459933,0.9636528657460877,0.28160919540229884
"(64,)",132,0.002580659486011206,0.03677946954046117,0.06130857818310891,0.6782172413316597,0.3025078369905956
"(64,)",64,0.013583442161335538,0.08356511308590502,0.049217616209711185,0.007994203172691505,0.31522117729014276
"(64,)",88,0.36657123085186133,0.049996633192860185,0.0007438771282666577,0.5202706911502091,0.334204110066179
"(64, 32)",96,0.3975831861470911,0.02389601142347302,0.09935227900025437,0.13889415090088786,0.2500870776732846
"(64, 32)",104,0.00019598805028664407,0.09341752823619909,0.06414176166460737,0.509539252805008,0.25287356321839083
"(64, 32)",93,0.39019475590007163,0.09570010545752737,0.019943113543698886,0.586652053200112,0.2770811563915012
"(64,)",75,0.0017019280661994879,0.09033327721126456,0.003021061240036865,0.9836666694094074,0.2553117380703588
"(64,)",142,0.007024222259969905,0.09243316165931756,0.0975496406069489,0.021974083573548738,0.25304771856495994
"(64,)",85,0.3994985340517288,0.06816243664313207,0.06077882520945813,0.6076140794494821,0.28126088470916055
"(64,)",106,0.3918982841926825,0.04880603674876505,0.0011027254018398723,0.025980744128170814,0.3749564611633577
"(64, 32)",111,0.3977591320220994,0.03275344810467373,0.09840893999891848,0.5162716175549708,0.2500870776732846
"(64,)",143,0.3874186688613798,0.031451793323912694,0.09964360557471089,0.964499924746813,0.2777777777777778
