hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,precision
"(64, 32)",136,0.019786390789009463,0.00029432418170689426,0.052189996716094346,0.8894461788121006,372,-1.0
"(64,)",70,0.3890543458019575,0.0002226447975157601,0.029723256723827723,0.9514650921975707,366,0.7137870855148342
"(64,)",107,0.24333425343476545,0.00012817744657434645,0.08917387812059681,0.9450937011616418,636,-1.0
"(64, 32)",81,0.2514075381922259,0.0004730457480763624,0.007847975069258856,0.9937446782097564,662,0.5471204188481675
"(64, 32)",64,0.004604287462598135,0.0007992491787533657,0.06051105554841219,0.20649754025449452,183,-1.0
"(64, 32)",64,0.4,0.00101,0.0001,0.03277033224709764,282,-1.0
"(64,)",150,0.24695371745959036,0.0009130765843049043,0.0037063438922101035,0.001,164,-1.0
"(64,)",76,0.32540895710122664,0.0009721041334358378,0.008591648603621176,0.7513316140388889,213,-1.0
"(64, 32)",64,0.4,0.00025971332848479764,0.0001,0.999,700,0.6230366492146597
"(64,)",81,0.4,0.0004175627005314516,0.022162002363929154,0.07739589824883057,674,0.756544502617801
"(64,)",64,0.05356628922619793,1e-06,0.03480733822595021,0.0010000000000000024,700,-1.0
"(64,)",109,0.4,0.0007638034041014337,0.1,0.7767987215695905,237,0.7582897033158813
"(64, 32)",150,0.4,0.0005475195635181585,0.07243986941706053,0.999,150,-1.0
"(64,)",77,0.4,0.0010048663400857032,0.1,0.282186724682531,259,0.7347294938917975
"(64, 32)",64,0.20121776197755006,0.00101,0.1,0.001,150,-1.0
"(64,)",83,0.4,1e-06,0.022927490524329314,0.9903058923146054,509,0.45200698080279234
"(64, 32)",66,0.4,0.00042732343605207895,0.035495461303544404,0.49902326869031033,700,0.7556719022687609
"(64,)",100,0.4,0.000840166463770566,0.01044315869993047,0.33070005635937455,697,0.7678883071553229
"(64,)",79,0.4,0.00024637690523490746,0.010817374479815846,0.008623774866545912,672,0.7574171029668412
"(64,)",93,0.4,1e-06,0.040749836409463065,0.03579930521371904,356,-1.0
"(64,)",65,0.3767681518549495,0.0002757467159112568,0.02952141168029863,0.001,700,0.7547993019197208
"(64,)",64,0.4,0.00101,0.1,0.999,311,0.5846422338568935
"(64, 32)",115,0.29884453172626185,0.00026158229478187095,0.017608165182863587,0.11896060662281506,700,-1.0
"(64,)",89,0.4,0.0009475880592842794,0.1,0.999,471,0.5846422338568935
"(64,)",64,0.4,0.00011362371542818235,0.04613307388007103,0.999,517,0.6082024432809774
"(64,)",74,0.4,0.0006041146084739458,0.1,0.9914576533426451,700,0.5846422338568935
"(64,)",109,0.4,0.00101,0.06527462723186664,0.03503568837398219,700,0.7382198952879582
"(64, 32)",107,0.4,0.00101,0.1,0.001,150,-1.0
"(64,)",70,0.12094687802931468,0.0007913106391239475,0.026435492825296385,0.04640677159293641,700,0.7626527050610821
"(64,)",130,0.3952515186894292,0.00101,0.016257108415177683,0.21873500910199206,700,0.7643979057591623
