hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,precision
"(64,)",65,0.3420380769174253,0.099679570860355,0.0464677841806168,0.0092278551290911,0.5296684118673647
"(64,)",79,0.134003609095968,0.0955332395891851,0.0969927715353475,0.0744420455733595,0.4755671902268761
"(64,)",87,0.0047188098664134,0.0525457768619301,0.0522604921737606,0.0260743748758505,0.47382198952879584
"(64,)",119,0.2553172887895806,0.0664552322209908,0.074482986859794,0.0024966740463963,0.4965095986038395
"(64,)",79,0.0069312479237169,0.0240785443213547,0.094171650041955,0.0588229815750918,0.49040139616055844
"(64, 32)",75,0.3947279116189677,0.021509749198440443,0.08402318760850748,0.3972122534382417,0.37347294938917974
"(64, 32)",131,0.002969256513893238,0.07208607128340228,0.00397988213575359,0.9470012814329787,0.23525740622266322
"(64, 32)",148,0.3822215804952957,0.09755288966874527,0.0547240606119977,0.20192881624867626,0.36826984133431356
"(64, 32)",69,0.20291751838656374,0.02062342634185515,0.08455587029765751,0.2429239537045331,0.3657488454461635
"(64,)",96,0.3927099374199124,0.08636562185165146,0.05198651711123004,0.9953377270048193,0.232514699290169
"(64, 32)",64,0.19706665208132837,0.0678866795550873,0.0479484716503431,0.6592634303921481,0.290507543355849
"(64,)",146,0.0017282688494881797,0.09920190879205944,0.020851985669603185,0.5365354669135459,0.31849912739965097
"(64, 32)",65,0.006553680390372076,0.08106466423877652,0.0917021180476121,0.0067277288423765865,0.3638743455497382
"(64,)",72,0.37395459530196373,0.02195290921876338,0.08632099887604372,0.3670659227341602,0.4319371727748691
"(64, 32)",72,0.3858962954652275,0.07505607460984264,0.04487643377317481,0.9968888278301585,0.23301345240737598
"(64,)",65,0.013017578163401348,0.04095951847345688,0.05275343969934904,0.9744279951310306,0.23351220552458296
"(64, 32)",92,0.01623615674218453,0.024986666854914914,0.09733236456282672,0.1359193189741211,0.34205933682373474
"(64,)",87,0.3839462660597978,0.09367558851763517,0.0262040995803269,0.7843934944017449,0.269757391378519
"(64, 32)",77,0.378457473791739,0.033307704557002854,0.02211154446525292,0.007461147544076598,0.4354275741710297
"(64, 32)",145,0.07464431711421092,0.09324248639500057,0.0712249694979718,0.007493352026262274,0.4275145986241482
"(64, 32)",142,0.3933963256609433,0.05080365516860817,0.08262766602582844,0.6685324583820279,0.30279232111692844
"(64,)",121,0.1744135298270024,0.030902975814895674,0.005062285410104454,0.0937601351021005,0.28294455569139865
"(64,)",150,0.21798980037309557,0.04207601791005231,0.09677459914890015,0.9755360627805665,0.23600553589847373
"(64, 32)",67,0.06288694315245863,0.09719893261624571,0.09545594447436422,0.9773280382009176,0.24161585564883603
"(64, 32)",127,0.19240881378298527,0.05678774117517339,0.0005163206619714328,0.014229276199394965,0.4232111692844677
"(64, 32)",148,0.23067776079835314,0.021656581771293714,0.0004051567713858496,0.40553474483069396,0.3585751092950553
"(64,)",132,0.07463879227586002,0.03195407482494245,0.0022307886177039505,0.9803760632138548,0.2303952161481114
"(64,)",97,0.11655323926400085,0.09768757590226866,0.0018311224794334562,0.015083177010966117,0.24186566741958368
"(64,)",95,0.014849785921994665,0.07732477453002899,0.05887358154544952,0.42814900274537787,0.39092495636998253
"(64, 32)",136,0.016349744444819608,0.04180665354236901,0.042357895448724724,0.013173018441834244,0.49040139616055844
