hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,max_epochs,recall
"(64,)",142,0.2558245991086187,0.0009958166409344568,0.08816596243394224,0.47303422163483483,640,0.5095444685466377
"(64, 32)",101,0.28868240246867977,0.00013903093348888426,0.004083489023293582,0.08715738589961138,518,-1.0
"(64, 32)",120,0.22065848640718355,0.0003704380439155547,0.08882230057322894,0.569427673393232,589,0.4761388286334056
"(64,)",143,0.05665795214061166,0.0004049771209035968,0.004699783963085104,0.7339661613134605,222,-1.0
"(64, 32)",118,0.3364120403092089,4.729143307844415e-05,0.08112484353808373,0.42879442715296245,625,-1.0
"(64,)",120,0.0853959646307324,0.0008980945258359096,0.09630029162092137,0.009552732392195382,294,0.5275488069414316
"(64, 32)",106,0.3827758206451317,0.0005124365124820461,0.08310942404297664,0.3252520475760206,689,0.4800433839479392
"(64,)",64,0.0,0.0005153613603586108,0.1,0.999,150,-1.0
"(64, 32)",140,0.21547064061241566,0.0008188064798132672,0.07994579507008484,0.9519948706583734,286,-1.0
"(64,)",69,0.38815534942679225,1e-06,0.044463519493210736,0.43239248137338115,653,-1.0
"(64,)",143,0.37893686103943014,0.000769437499859501,0.019782570285434096,0.0033204825424069965,684,0.5368763557483731
"(64,)",65,0.0,0.000945985821711777,0.1,0.001,502,0.5370932754880694
"(64,)",64,0.28470599342944597,0.0008877413688251551,0.0001,0.5816299081709189,700,0.5425162689804772
"(64, 32)",70,0.3113728479612621,0.00101,0.06358232441913661,0.6670177595512587,555,0.48459869848156184
"(64, 32)",106,0.0,0.00044199972412585617,0.0001,0.9021076000274132,150,0.5143167028199567
"(64,)",68,0.1979616840971748,0.00020002039344158947,0.07240617149506692,0.016387955143529895,190,-1.0
"(64, 32)",67,0.0900745363219509,0.0006225027796013604,0.033863699189099615,0.8927260984615193,226,-1.0
"(64,)",64,0.4,0.0006830666417177975,0.0001,0.999,700,0.48698481561822127
"(64, 32)",73,0.056916027390787896,0.0002877054442571653,0.08789862275697813,0.7169835461063061,220,-1.0
"(64, 32)",119,0.24710937559928256,0.0006490346526132119,0.08766231793307831,0.5913660965374195,602,0.4774403470715835
"(64,)",73,0.22042217336028513,0.00101,0.1,0.001,371,0.5238611713665944
"(64,)",121,0.21670859805131487,0.0010093142778081986,0.016608306700158105,0.9444619219138296,559,0.5106290672451193
"(64, 32)",66,0.36966389202323535,0.00101,0.08751613031770313,0.7025933492550184,700,0.486117136659436
"(64,)",77,0.02577252555080871,0.00101,0.0001,0.001,569,0.5603036876355749
"(64, 32)",75,0.12499571322054588,0.0006956074823915566,0.03721444784179049,0.001,700,0.5290672451193059
"(64,)",64,0.0,0.0006320412298039657,0.006380571056873385,0.001,487,0.5509761388286334
"(64,)",77,0.0,0.0007466376039182282,0.0001,0.001,392,0.5501084598698482
"(64,)",117,0.4,0.00101,0.020350444681415766,0.001,156,-1.0
"(64,)",64,0.0,0.0007272570798796724,0.038075576952806854,0.017262914097622095,576,0.5364425162689805
"(64, 32)",150,0.0,0.00101,0.06390191262557558,0.564374096989099,150,-1.0
