hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,recall
"(64, 32)",111,0.1721221551829412,0.0252837500024097,0.0072410711881323,0.1005502878077687,0.31149674620390455
"(64, 32)",89,0.0657644646214943,0.0365547127312149,0.0190248304032784,0.2934335534755346,0.310412147505423
"(64, 32)",129,0.0675259856975925,0.038025966274462,0.0198913582131992,0.276761769088924,0.30976138828633404
"(64,)",86,0.1351074898436821,0.0872441291095023,0.0258187630409966,0.1255800938648993,0.3099783080260304
"(64,)",73,0.2962687432902667,0.0333915668875022,0.0254839805836965,0.2891696159602043,0.30780911062906724
"(64, 32)",82,0.1763389864550837,0.09181836335361902,0.041225088239763716,0.5136050962118719,0.2993492407809111
"(64,)",102,0.017426265186555816,0.022365445294395443,0.019972379666160767,0.4104079049493614,0.3106290672451193
"(64,)",128,0.09869900930840098,0.07942253064327998,0.08352218803686598,0.4748071857447745,0.29913232104121473
"(64, 32)",69,0.11324100603695392,0.08555391545012195,0.06368064798569438,0.07082749709230748,0.29761388286334056
"(64, 32)",101,0.2815909942010864,0.09284255175565545,0.008320731603979952,0.1373367528869058,0.3060737527114967
"(64, 32)",123,0.37037401469844383,0.083133627612969,0.09321673934274041,0.9156723235073234,0.3030368763557484
"(64,)",138,0.3082892854780436,0.05829043635356668,0.09179012262810711,0.7227749387185329,0.30021691973969633
"(64,)",106,0.17446874712846394,0.033154304505390905,0.09998554651805895,0.19272887769315994,0.2973969631236443
"(64, 32)",99,0.3326608318189668,0.057034276865560965,0.04198605642408931,0.3768394010229441,0.297180043383948
"(64, 32)",111,0.29725869563471724,0.0556089914282788,0.05971212757455412,0.39524811613982475,0.2967462039045553
"(64, 32)",81,0.3151770326350854,0.021196657078889576,0.07700777530827818,0.3263456689825707,0.2967462039045553
"(64, 32)",100,0.34546352480910125,0.030102588829146973,0.06799354810179335,0.9011399135888265,0.30151843817787416
"(64,)",129,0.35817245789874924,0.07949262914625153,0.0887320931685919,0.20582176066121685,0.297180043383948
"(64,)",79,0.17722022535845708,0.0811244576957379,0.026348670341555684,0.8286753696692459,0.3043383947939262
"(64, 32)",109,0.36590204503995105,0.028003140590830644,0.05843143176489299,0.8327059537937873,0.30347071583514096
"(64, 32)",72,0.017668667287054168,0.08153759066796488,0.016861513224143237,0.8036886873924894,0.30390455531453364
"(64,)",88,0.3896865693852434,0.09247710110649252,0.038753106695153215,0.589798103876189,0.3036876355748373
"(64,)",65,0.29622251075987954,0.03362548527981192,0.09781126703404254,0.6046345189713292,0.2973969631236443
"(64, 32)",120,0.3634920925924934,0.043351538530646855,0.03905829433425363,0.029182733016347363,0.29696312364425165
"(64,)",97,0.07771283041935668,0.04415979778565101,0.06149078837950288,0.7127935976272066,0.30216919739696313
"(64, 32)",84,0.1904649493119448,0.03767727997015554,0.001176777108319549,0.07322383817455164,0.3130151843817787
"(64,)",85,0.13063777771661364,0.07007509486057183,0.08800267370569718,0.21463436428916244,0.29783080260303685
"(64, 32)",142,0.06874749032424836,0.03798034283188598,0.08247356675306178,0.3661020430720912,0.2967462039045553
"(64,)",115,0.23113662868717647,0.07784587510542551,0.08106570244140918,0.9737779385731837,0.2986984815618221
"(64,)",88,0.36112875496404706,0.07283204743246474,0.02396282023855098,0.3968424522381934,0.30759219088937095
"(64, 32)",67,0.0786458415939385,0.09313577105205853,0.06986627639444187,0.7878322922132008,0.30151843817787416
"(64,)",150,0.030695330477263656,0.058030516894475956,0.034845364137144536,0.1177868512101787,0.3060737527114967
"(64,)",85,0.3040223303690379,0.039194202165066985,0.062122113095715345,0.39436972015447735,0.3010845986984816
"(64,)",79,0.18425352575989176,0.043454682084801036,0.01975985525060633,0.08862916075211225,0.31149674620390455
"(64,)",71,0.3401878200184163,0.050443750821904824,0.01651375881675463,0.7093616913435057,0.3080260303687635
"(64,)",97,0.3045601169287431,0.058844169240761676,0.0897300745491539,0.5408800867543055,0.2973969631236443
"(64,)",101,0.09294221560896693,0.03996021645186892,0.029080801347247495,0.28675145112702044,0.3088937093275488
"(64, 32)",76,0.19847688590698015,0.059180306705476846,0.07863666876529393,0.24049368566895749,0.29696312364425165
"(64,)",138,0.3400949080565214,0.040868701888680956,0.05564402383621546,0.11595784496918347,0.30195227765726684
"(64,)",67,0.16692165947281903,0.0673341307297484,0.09333336225936816,0.24125354722186554,0.297180043383948
"(64, 32)",124,0.2349529310464539,0.07622730673356852,0.04222671852460545,0.9357944907364815,0.2993492407809111
"(64,)",112,0.0026902065405244543,0.043005776271827986,0.03616014657015243,0.2966865660846386,0.3060737527114967
"(64, 32)",107,0.14636470196760973,0.09623046948677365,0.02545035165976968,0.2724546157165734,0.303470715835141
"(64, 32)",90,0.0068778067283515225,0.024359353634768342,0.00862147199785094,0.9067752011678689,0.3013015184381779
"(64, 32)",80,0.1363595287265806,0.09179415386258594,0.02491525750951643,0.6312021851383266,0.303470715835141
"(64, 32)",118,0.2635642259512884,0.06547602687754205,0.05287439228781353,0.9199548560034747,0.30021691973969633
"(64, 32)",95,0.1868624658740599,0.045368599183294944,0.028038592809567896,0.34905558022116534,0.30195227765726684
"(64,)",133,0.21026663657304978,0.04337403895134456,0.06727335923229937,0.9514055077209903,0.2986984815618221
"(64,)",118,0.07541325402671693,0.03368729700734555,0.00028654451443837353,0.3745965868072472,0.2973969631236443
"(64,)",134,0.31887720946957177,0.08946082725374814,0.04169589860821233,0.677819681855426,0.3043383947939262
