version,metric,epsilon,delta,noise_mechanism,sensitivity,compute_time
202505070419,precision,1.0,1e-05,gaussian,0.017157068497861593,2025-05-08 23:25:50.522709
202505070419,precision,1.0,1e-05,laplace,0.07864921194510296,2025-05-08 23:26:57.984784
202505070955,precision,3.0,1e-05,gaussian,0.08218008845442358,2025-05-08 23:27:28.682610
202505070955,precision,3.0,1e-05,laplace,0.2600336272602615,2025-05-08 23:28:02.286637
202505071004,precision,5.0,1e-05,gaussian,0.06962482189651915,2025-05-08 23:29:51.812420
202505071004,precision,5.0,1e-05,laplace,0.24362914658915433,2025-05-08 23:31:19.891649
202505071236,recall,1.0,1e-05,gaussian,0.01815747640478886,2025-05-08 23:32:08.653845
202505071236,recall,1.0,1e-05,laplace,0.05967759834133359,2025-05-08 23:32:57.672803
202505071332,recall,3.0,1e-05,gaussian,0.048473603408009075,2025-05-08 23:34:31.603562
202505071332,recall,3.0,1e-05,laplace,0.177036488470858,2025-05-08 23:36:06.831415
202505071358,recall,5.0,1e-05,gaussian,0.6638076868855528,2025-05-08 23:38:02.303356
202505071358,recall,5.0,1e-05,laplace,2.357931781722286,2025-05-08 23:40:02.694896
202505071022,f1_score,1.0,1e-05,gaussian,0.021853188275961177,2025-05-08 23:41:05.272442
202505071022,f1_score,1.0,1e-05,laplace,0.07427725086043908,2025-05-08 23:42:11.556447
202505081643,f1_score,3.0,1e-05,gaussian,0.09748498042896588,2025-05-08 23:44:21.284461
202505081643,f1_score,3.0,1e-05,laplace,0.33303304889412305,2025-05-08 23:46:49.165084
202505071225,f1_score,5.0,1e-05,gaussian,0.03511450991810014,2025-05-08 23:47:29.239454
202505071225,f1_score,5.0,1e-05,laplace,0.09132514795509164,2025-05-08 23:48:14.190727
202505070326,auc,1.0,1e-05,gaussian,0.01631452851538541,2025-05-08 23:50:59.153657
202505070326,auc,1.0,1e-05,laplace,0.06119232446667874,2025-05-08 23:54:44.840188
202505070348,auc,3.0,1e-05,gaussian,0.023267638282207778,2025-05-08 23:57:24.353415
202505070348,auc,3.0,1e-05,laplace,0.06634918631116099,2025-05-08 23:59:52.699981
202505070407,auc,5.0,1e-05,gaussian,0.09140444407339147,2025-05-09 00:01:31.727416
202505070407,auc,5.0,1e-05,laplace,0.12996547086611038,2025-05-09 00:03:26.103156
