epoch,spent_eps,train_loss,val_loss
1,0.1113,1.9530,1.1905
2,0.1141,1.3895,0.8504
3,0.1178,1.0861,0.7021
4,0.1221,0.9291,0.6196
5,0.1275,0.8349,0.5748
6,0.1340,0.7841,0.5323
7,0.1416,0.7205,0.4978
8,0.1503,0.6761,0.4793
9,0.1597,0.6321,0.4567
10,0.1702,0.5967,0.4510
11,0.1817,0.5638,0.4470
12,0.1942,0.5543,0.4256
13,0.2078,0.5296,0.4098
14,0.2223,0.5255,0.4018
15,0.2375,0.5196,0.4019
16,0.2530,0.5051,0.4064
17,0.2685,0.5028,0.4046
18,0.2841,0.4897,0.4068
19,0.2997,0.4721,0.3941
20,0.3155,0.4728,0.3919
21,0.3312,0.4660,0.3925
22,0.3470,0.4613,0.3871
23,0.3629,0.4489,0.3854
24,0.3789,0.4407,0.3849
25,0.3948,0.4276,0.3798
26,0.4109,0.4216,0.3791
27,0.4270,0.4168,0.3755
28,0.4431,0.4124,0.3715
29,0.4593,0.4008,0.3699
30,0.4755,0.3990,0.3682
31,0.4918,0.3939,0.3688
32,0.5081,0.3859,0.3651
33,0.5244,0.3865,0.3622
34,0.5408,0.3816,0.3611
35,0.5573,0.3787,0.3578
36,0.5738,0.3719,0.3586
37,0.5903,0.3729,0.3584
38,0.6068,0.3701,0.3578
39,0.6234,0.3677,0.3545
40,0.6400,0.3629,0.3504
41,0.6566,0.3589,0.3514
42,0.6733,0.3590,0.3503
43,0.6901,0.3534,0.3485
44,0.7068,0.3517,0.3453
45,0.7236,0.3480,0.3430
46,0.7405,0.3461,0.3443
47,0.7573,0.3461,0.3420
48,0.7742,0.3447,0.3396
49,0.7912,0.3437,0.3387
50,0.8081,0.3383,0.3376
51,0.8252,0.3394,0.3359
52,0.8421,0.3354,0.3359
53,0.8593,0.3305,0.3330
54,0.8763,0.3324,0.3326
55,0.8935,0.3299,0.3308
56,0.9106,0.3282,0.3311
57,0.9279,0.3289,0.3303
58,0.9449,0.3223,0.3294
59,0.9623,0.3224,0.3275
60,0.9795,0.3190,0.3267
61,0.9968,0.3203,0.3258
62,1.0143,0.3192,0.3249
63,1.0314,0.3176,0.3240
64,1.0489,0.3199,0.3244
65,1.0664,0.3178,0.3243
66,1.0837,0.3156,0.3245
67,1.1012,0.3167,0.3252
68,1.1188,0.3142,0.3256
69,1.1362,0.3133,0.3256
70,1.1538,0.3115,0.3250
71,1.1716,0.3093,0.3245
72,1.1890,0.3127,0.3246
73,1.2065,0.3111,0.3236
74,1.2243,0.3099,0.3228
75,1.2421,0.3076,0.3231
76,1.2596,0.3105,0.3229
77,1.2773,0.3062,0.3224
78,1.2953,0.3072,0.3222
79,1.3132,0.3046,0.3223
80,1.3307,0.3058,0.3214
81,1.3485,0.3048,0.3213
82,1.3665,0.3034,0.3214
83,1.3848,0.3051,0.3208
84,1.4023,0.3030,0.3207
85,1.4201,0.3008,0.3208
86,1.4381,0.3003,0.3206
87,1.4563,0.2999,0.3200
88,1.4746,0.2999,0.3200
89,1.4923,0.3013,0.3197
90,1.5102,0.2980,0.3193
91,1.5283,0.2999,0.3198
92,1.5466,0.2968,0.3193
93,1.5651,0.2977,0.3192
94,1.5831,0.2962,0.3191
95,1.6010,0.2962,0.3187
96,1.6191,0.2945,0.3185
97,1.6374,0.2948,0.3177
98,1.6558,0.2915,0.3180
99,1.6745,0.2964,0.3183
100,1.6927,0.2935,0.3181
101,1.7107,0.2934,0.3182
102,1.7288,0.2926,0.3179
103,1.7472,0.2916,0.3179
104,1.7657,0.2915,0.3181
105,1.7844,0.2903,0.3179
106,1.8033,0.2913,0.3179
107,1.8215,0.2912,0.3181
108,1.8396,0.2899,0.3181
109,1.8579,0.2896,0.3176
110,1.8764,0.2883,0.3178
111,1.8951,0.2860,0.3178
112,1.9139,0.2878,0.3180
113,1.9328,0.2887,0.3177
114,1.9520,0.2864,0.3169
115,1.9701,0.2872,0.3172
116,1.9884,0.2855,0.3171
117,2.0069,0.2870,0.3169
118,2.0255,0.2852,0.3168
119,2.0442,0.2850,0.3168
120,2.0631,0.2860,0.3171
121,2.0822,0.2856,0.3171
122,2.1014,0.2850,0.3166
123,2.1208,0.2850,0.3162
124,2.1391,0.2841,0.3163
125,2.1576,0.2832,0.3167
126,2.1761,0.2835,0.3163
127,2.1949,0.2836,0.3164
128,2.2137,0.2826,0.3163
129,2.2328,0.2812,0.3165
130,2.2519,0.2837,0.3168
131,2.2712,0.2831,0.3171
132,2.2907,0.2832,0.3167
133,2.3103,0.2817,0.3163
134,2.3293,0.2815,0.3165
135,2.3479,0.2816,0.3161
136,2.3665,0.2806,0.3159
137,2.3853,0.2820,0.3157
138,2.4042,0.2796,0.3156
139,2.4233,0.2800,0.3158
140,2.4425,0.2796,0.3157
141,2.4619,0.2794,0.3158
142,2.4814,0.2795,0.3155
143,2.5010,0.2803,0.3155
144,2.5207,0.2787,0.3155
145,2.5406,0.2798,0.3158
146,2.5603,0.2788,0.3156
147,2.5790,0.2799,0.3161
148,2.5978,0.2795,0.3158
149,2.6167,0.2791,0.3156
150,2.6358,0.2788,0.3154
151,2.6550,0.2783,0.3153
152,2.6743,0.2778,0.3154
153,2.6937,0.2803,0.3154
154,2.7133,0.2785,0.3154
155,2.7330,0.2765,0.3151
156,2.7528,0.2779,0.3150
157,2.7727,0.2762,0.3150
158,2.7928,0.2749,0.3150
159,2.8130,0.2756,0.3154
160,2.8333,0.2770,0.3158
161,2.8529,0.2767,0.3159
162,2.8718,0.2748,0.3160
163,2.8908,0.2772,0.3158
164,2.9100,0.2740,0.3156
165,2.9293,0.2750,0.3155
166,2.9487,0.2761,0.3154
167,2.9682,0.2743,0.3153
168,2.9878,0.2740,0.3151
169,3.0076,0.2736,0.3151
170,3.0275,0.2745,0.3150
171,3.0475,0.2746,0.3150
172,3.0676,0.2729,0.3148
173,3.0878,0.2729,0.3146
174,3.1081,0.2735,0.3147
175,3.1286,0.2750,0.3146
176,3.1491,0.2736,0.3145
177,3.1698,0.2729,0.3145
178,3.1906,0.2738,0.3145
179,3.2101,0.2729,0.3147
180,3.2293,0.2724,0.3153
181,3.2487,0.2740,0.3155
182,3.2681,0.2737,0.3157
183,3.2876,0.2743,0.3158
184,3.3073,0.2717,0.3156
185,3.3270,0.2732,0.3152
186,3.3469,0.2725,0.3151
187,3.3668,0.2729,0.3152
188,3.3869,0.2722,0.3153
189,3.4071,0.2717,0.3154
190,3.4274,0.2719,0.3151
191,3.4478,0.2717,0.3150
192,3.4683,0.2701,0.3152
193,3.4889,0.2711,0.3151
194,3.5096,0.2726,0.3151
195,3.5304,0.2705,0.3151
196,3.5513,0.2712,0.3149
197,3.5724,0.2704,0.3147
198,3.5935,0.2702,0.3146
199,3.6147,0.2710,0.3146
200,3.6361,0.2706,0.3148
201,3.6559,0.2698,0.3145
202,3.6754,0.2703,0.3144
203,3.6951,0.2691,0.3143
204,3.7148,0.2690,0.3144
205,3.7346,0.2693,0.3142
206,3.7545,0.2701,0.3141
207,3.7745,0.2701,0.3141
208,3.7946,0.2692,0.3143
209,3.8148,0.2690,0.3140
210,3.8351,0.2679,0.3141
211,3.8555,0.2689,0.3141
212,3.8760,0.2691,0.3141
213,3.8966,0.2684,0.3143
214,3.9173,0.2672,0.3144
215,3.9381,0.2685,0.3141
216,3.9590,0.2677,0.3140
217,3.9799,0.2685,0.3136
218,4.0010,0.2687,0.3131
219,4.0222,0.2685,0.3129
220,4.0435,0.2674,0.3128
221,4.0648,0.2656,0.3125
222,4.0863,0.2674,0.3128
223,4.1078,0.2668,0.3128
224,4.1295,0.2670,0.3126
225,4.1512,0.2659,0.3126
226,4.1731,0.2660,0.3122
227,4.1950,0.2656,0.3123
228,4.2171,0.2666,0.3125
229,4.2370,0.2644,0.3121
230,4.2570,0.2650,0.3120
231,4.2770,0.2655,0.3121
232,4.2971,0.2644,0.3122
233,4.3172,0.2666,0.3119
234,4.3375,0.2656,0.3115
235,4.3579,0.2648,0.3116
236,4.3783,0.2660,0.3112
237,4.3988,0.2651,0.3110
238,4.4194,0.2648,0.3103
239,4.4401,0.2628,0.3107
240,4.4609,0.2645,0.3108
241,4.4818,0.2628,0.3106
242,4.5028,0.2630,0.3102
243,4.5238,0.2636,0.3100
244,4.5449,0.2631,0.3097
245,4.5662,0.2634,0.3092
246,4.5875,0.2623,0.3089
247,4.6089,0.2622,0.3086
248,4.6303,0.2622,0.3090
249,4.6519,0.2628,0.3087
250,4.6736,0.2625,0.3084
251,4.6953,0.2626,0.3081
252,4.7171,0.2624,0.3074
253,4.7390,0.2609,0.3076
254,4.7610,0.2616,0.3075
255,4.7831,0.2602,0.3072
256,4.8053,0.2606,0.3076
257,4.8275,0.2607,0.3073
258,4.8499,0.2608,0.3064
259,4.8723,0.2613,0.3061
260,4.8948,0.2610,0.3062
261,4.9174,0.2613,0.3063
262,4.9401,0.2607,0.3061
263,4.9629,0.2601,0.3059
264,4.9858,0.2602,0.3059
265,5.0074,0.2589,0.3058
