epoch,train_loss,val_loss
1,15.5053,11.6800
2,11.3691,9.3763
3,9.9618,8.3686
4,9.3375,7.9071
5,9.0580,7.6555
6,8.8879,7.5046
7,8.7472,7.3920
8,8.6747,7.3255
9,8.6098,7.2654
10,8.5372,7.2075
11,8.5075,7.1816
12,8.4549,7.1567
13,8.4211,7.1221
14,8.3856,7.0991
15,8.3650,7.0862
16,8.3361,7.0642
17,8.3014,7.0464
18,8.2655,7.0297
19,8.2775,7.0172
20,8.2540,7.0073
21,8.2484,6.9974
22,8.2126,6.9877
23,8.2099,6.9737
24,8.1671,6.9560
25,8.1582,6.9460
26,8.1749,6.9375
27,8.1409,6.9232
28,8.1463,6.9232
29,8.1411,6.9116
30,8.1014,6.9039
31,8.1038,6.8910
32,8.0872,6.8831
33,8.0715,6.8796
34,8.0678,6.8720
35,8.0313,6.8554
36,8.0447,6.8513
37,8.0274,6.8475
38,8.0412,6.8388
39,8.0053,6.8375
40,8.0133,6.8312
41,8.0129,6.8311
42,7.9913,6.8189
43,7.9886,6.8169
44,7.9717,6.8055
45,7.9598,6.8034
46,7.9584,6.8019
47,7.9504,6.7959
48,7.9230,6.7851
49,7.9224,6.7810
50,7.9017,6.7772
51,7.8925,6.7754
52,7.8988,6.7685
53,7.8857,6.7648
54,7.8945,6.7583
55,7.9011,6.7592
56,7.8795,6.7562
57,7.8814,6.7555
58,7.8605,6.7450
59,7.8513,6.7409
60,7.8436,6.7416
61,7.8597,6.7381
62,7.8585,6.7413
63,7.8704,6.7376
64,7.8290,6.7297
65,7.8359,6.7341
66,7.8405,6.7259
67,7.8139,6.7236
68,7.8330,6.7241
69,7.8058,6.7183
70,7.8288,6.7178
71,7.7971,6.7153
72,7.8082,6.7138
73,7.7948,6.7118
74,7.8031,6.7063
75,7.7915,6.7051
76,7.7820,6.7033
77,7.7927,6.7028
78,7.7728,6.6999
79,7.7799,6.7001
80,7.7575,6.6971
81,7.7639,6.6991
82,7.7791,6.7018
83,7.7612,6.6907
84,7.7602,6.6863
85,7.7658,6.6922
86,7.7335,6.6886
87,7.7655,6.6909
88,7.7657,6.6885
89,7.7578,6.6836
90,7.7336,6.6771
91,7.7414,6.6793
92,7.7322,6.6792
93,7.7432,6.6757
94,7.7197,6.6783
95,7.7433,6.6736
96,7.7195,6.6773
97,7.7373,6.6717
98,7.7063,6.6702
99,7.7235,6.6667
100,7.7403,6.6735
101,7.7166,6.6680
102,7.7148,6.6677
103,7.7079,6.6660
104,7.6772,6.6639
105,7.7165,6.6654
106,7.7187,6.6669
107,7.7063,6.6657
108,7.7183,6.6637
109,7.6992,6.6651
110,7.7019,6.6649
111,7.6996,6.6575
112,7.6991,6.6597
113,7.7006,6.6618
114,7.6889,6.6606
115,7.6921,6.6567
116,7.6860,6.6572
117,7.6710,6.6512
118,7.6748,6.6536
119,7.6697,6.6549
120,7.7054,6.6536
121,7.6802,6.6554
122,7.6882,6.6518
123,7.6751,6.6515
124,7.6872,6.6504
125,7.6887,6.6526
126,7.7010,6.6524
127,7.6826,6.6477
128,7.6773,6.6433
129,7.6592,6.6454
130,7.6655,6.6467
131,7.6819,6.6468
132,7.6689,6.6412
133,7.6716,6.6449
134,7.6428,6.6410
135,7.6698,6.6416
136,7.6770,6.6426
137,7.6607,6.6389
138,7.6665,6.6439
139,7.6745,6.6352
140,7.6724,6.6385
141,7.6523,6.6337
142,7.6569,6.6347
143,7.6489,6.6328
144,7.6434,6.6359
145,7.6625,6.6367
146,7.6428,6.6373
147,7.6644,6.6379
148,7.6413,6.6322
149,7.6559,6.6338
150,7.6442,6.6283
151,7.6635,6.6303
152,7.6544,6.6321
153,7.6434,6.6296
154,7.6495,6.6315
155,7.6374,6.6280
156,7.6508,6.6288
157,7.6371,6.6275
158,7.6376,6.6263
159,7.6427,6.6293
160,7.6558,6.6236
161,7.6369,6.6244
162,7.6230,6.6229
163,7.6263,6.6206
164,7.6399,6.6213
165,7.6329,6.6191
166,7.6267,6.6182
167,7.6320,6.6239
168,7.6300,6.6173
169,7.6422,6.6192
170,7.6368,6.6154
171,7.6112,6.6136
172,7.6095,6.6136
173,7.6230,6.6110
174,7.6257,6.6156
175,7.6195,6.6124
176,7.6092,6.6106
177,7.6166,6.6114
178,7.5990,6.6110
179,7.6136,6.6117
180,7.6140,6.6130
181,7.6195,6.6100
182,7.6053,6.6119
183,7.6193,6.6107
184,7.5892,6.6099
185,7.6193,6.6078
186,7.6232,6.6129
187,7.6025,6.6078
188,7.5976,6.6091
189,7.6217,6.6077
190,7.6070,6.6093
191,7.5978,6.6038
192,7.6010,6.6049
193,7.6127,6.6035
194,7.6085,6.6071
195,7.5978,6.6062
196,7.6071,6.6048
197,7.5946,6.6067
198,7.6062,6.6032
199,7.6028,6.6051
200,7.6062,6.6040
201,7.6076,6.6050
202,7.5960,6.6040
203,7.6224,6.6039
204,7.6152,6.6035
205,7.6027,6.6049
206,7.5917,6.5995
207,7.5920,6.6008
208,7.6040,6.5979
209,7.6024,6.6010
210,7.5969,6.6046
