epoch,train_loss,val_loss
1,11.5602,8.2180
2,8.2082,7.5948
3,7.7438,7.3278
4,7.4541,7.0990
5,7.2146,6.8708
6,6.9857,6.6348
7,6.7484,6.4128
8,6.5326,6.1961
9,6.3409,6.0008
10,6.1525,5.8246
11,5.9795,5.6507
12,5.8247,5.4934
13,5.6928,5.3556
14,5.5553,5.2312
15,5.4456,5.1087
16,5.3311,5.0041
17,5.2311,4.9024
18,5.1426,4.8183
19,5.0695,4.7327
20,4.9868,4.6545
21,4.9172,4.5860
22,4.8613,4.5205
23,4.8020,4.4598
24,4.7404,4.4040
25,4.6851,4.3505
26,4.6370,4.3063
27,4.6019,4.2591
28,4.5615,4.2175
29,4.5229,4.1795
30,4.4905,4.1433
31,4.4535,4.1110
32,4.4249,4.0778
33,4.3920,4.0485
34,4.3721,4.0233
35,4.3488,3.9961
36,4.3321,3.9730
37,4.3105,3.9547
38,4.2932,3.9319
39,4.2798,3.9169
40,4.2510,3.8954
41,4.2303,3.8792
42,4.2246,3.8632
43,4.2003,3.8479
44,4.1914,3.8333
45,4.1774,3.8206
46,4.1733,3.8097
47,4.1590,3.7971
48,4.1453,3.7870
49,4.1296,3.7760
50,4.1341,3.7665
51,4.1194,3.7556
52,4.1160,3.7480
53,4.1092,3.7402
54,4.0887,3.7336
55,4.0892,3.7248
56,4.0728,3.7161
57,4.0732,3.7082
58,4.0752,3.7039
59,4.0525,3.6956
60,4.0629,3.6915
61,4.0488,3.6842
62,4.0362,3.6792
63,4.0398,3.6728
64,4.0361,3.6670
65,4.0294,3.6631
66,4.0188,3.6587
67,4.0249,3.6544
68,4.0161,3.6491
69,4.0148,3.6460
70,4.0100,3.6419
71,3.9984,3.6382
72,3.9965,3.6342
73,3.9924,3.6322
74,3.9891,3.6250
75,3.9907,3.6240
76,3.9888,3.6189
77,3.9784,3.6168
78,3.9845,3.6149
79,3.9701,3.6111
80,3.9629,3.6077
81,3.9715,3.6054
82,3.9630,3.6022
83,3.9677,3.6018
84,3.9594,3.5977
85,3.9527,3.5964
86,3.9547,3.5941
87,3.9545,3.5912
88,3.9490,3.5895
89,3.9353,3.5879
90,3.9486,3.5849
91,3.9440,3.5847
92,3.9502,3.5822
93,3.9390,3.5802
94,3.9425,3.5809
95,3.9412,3.5779
96,3.9405,3.5746
97,3.9322,3.5738
98,3.9360,3.5727
99,3.9315,3.5712
100,3.9289,3.5686
101,3.9296,3.5666
102,3.9205,3.5690
103,3.9272,3.5656
104,3.9161,3.5648
105,3.9285,3.5616
106,3.9108,3.5591
107,3.9101,3.5588
108,3.9150,3.5580
109,3.9140,3.5556
110,3.9176,3.5555
111,3.9033,3.5539
112,3.9128,3.5560
113,3.9174,3.5518
114,3.9073,3.5510
115,3.9124,3.5499
116,3.8996,3.5498
117,3.9128,3.5466
118,3.9014,3.5468
119,3.9025,3.5453
120,3.9023,3.5450
121,3.9045,3.5438
122,3.9042,3.5437
123,3.9088,3.5417
124,3.8936,3.5457
125,3.8986,3.5408
126,3.8957,3.5417
127,3.8949,3.5406
128,3.8900,3.5385
129,3.8960,3.5391
130,3.8895,3.5368
131,3.8837,3.5358
132,3.8939,3.5345
133,3.8889,3.5355
134,3.8896,3.5353
135,3.8806,3.5328
136,3.8893,3.5345
137,3.8742,3.5327
138,3.8723,3.5301
139,3.8871,3.5294
140,3.8756,3.5303
141,3.8896,3.5288
142,3.8817,3.5285
143,3.8774,3.5286
144,3.8775,3.5290
145,3.8848,3.5285
146,3.8782,3.5272
147,3.8789,3.5259
148,3.8768,3.5268
149,3.8790,3.5249
150,3.8668,3.5246
151,3.8774,3.5231
152,3.8717,3.5233
153,3.8785,3.5217
154,3.8670,3.5234
155,3.8744,3.5212
156,3.8751,3.5200
157,3.8665,3.5211
158,3.8771,3.5195
159,3.8690,3.5191
160,3.8733,3.5183
161,3.8691,3.5165
162,3.8614,3.5173
163,3.8680,3.5188
164,3.8741,3.5151
165,3.8655,3.5147
166,3.8704,3.5154
167,3.8656,3.5158
168,3.8571,3.5164
169,3.8688,3.5145
170,3.8613,3.5146
171,3.8762,3.5142
172,3.8733,3.5130
173,3.8635,3.5135
174,3.8558,3.5127
175,3.8615,3.5117
176,3.8530,3.5106
177,3.8634,3.5105
178,3.8561,3.5092
179,3.8622,3.5103
180,3.8471,3.5094
181,3.8653,3.5096
182,3.8573,3.5095
183,3.8572,3.5084
184,3.8478,3.5081
185,3.8544,3.5072
186,3.8584,3.5072
187,3.8433,3.5067
188,3.8527,3.5065
189,3.8487,3.5069
190,3.8472,3.5053
191,3.8494,3.5043
192,3.8421,3.5041
193,3.8438,3.5041
194,3.8517,3.5042
195,3.8483,3.5061
196,3.8551,3.5037
197,3.8501,3.5064
198,3.8463,3.5018
199,3.8430,3.5017
200,3.8536,3.5012
201,3.8439,3.5010
202,3.8446,3.5011
203,3.8416,3.5011
204,3.8444,3.5012
205,3.8410,3.4989
206,3.8435,3.4997
