epoch,spent_eps,train_loss,val_loss
1,0.1011,2.0497,2.0447
2,0.1013,2.0347,2.0265
3,0.1016,2.0164,2.0098
4,0.1020,2.0000,1.9898
5,0.1026,1.9785,1.9681
6,0.1032,1.9598,1.9520
7,0.1039,1.9445,1.9382
8,0.1048,1.9294,1.9216
9,0.1057,1.9140,1.9111
10,0.1068,1.9022,1.8941
11,0.1079,1.8843,1.8764
12,0.1092,1.8685,1.8612
13,0.1105,1.8530,1.8442
14,0.1120,1.8359,1.8315
15,0.1136,1.8260,1.8224
16,0.1153,1.8152,1.8064
17,0.1170,1.7964,1.7898
18,0.1189,1.7815,1.7737
19,0.1209,1.7679,1.7637
20,0.1230,1.7558,1.7474
21,0.1252,1.7404,1.7352
22,0.1275,1.7277,1.7221
23,0.1300,1.7183,1.7180
24,0.1325,1.7123,1.7080
25,0.1351,1.7022,1.6988
26,0.1378,1.6909,1.6866
27,0.1407,1.6783,1.6724
28,0.1436,1.6663,1.6616
29,0.1467,1.6563,1.6530
30,0.1498,1.6463,1.6436
31,0.1531,1.6363,1.6296
32,0.1564,1.6221,1.6189
33,0.1599,1.6115,1.6075
34,0.1635,1.6014,1.5945
35,0.1671,1.5874,1.5804
36,0.1709,1.5732,1.5701
37,0.1748,1.5621,1.5583
38,0.1788,1.5516,1.5481
39,0.1829,1.5421,1.5382
40,0.1871,1.5313,1.5268
41,0.1914,1.5203,1.5168
42,0.1958,1.5096,1.5038
43,0.2003,1.4952,1.4885
44,0.2049,1.4822,1.4789
45,0.2097,1.4719,1.4686
46,0.2145,1.4636,1.4600
47,0.2194,1.4507,1.4452
48,0.2243,1.4395,1.4368
49,0.2293,1.4299,1.4274
50,0.2342,1.4215,1.4189
51,0.2392,1.4134,1.4110
52,0.2441,1.4015,1.3973
53,0.2491,1.3883,1.3831
54,0.2541,1.3768,1.3738
55,0.2590,1.3668,1.3623
56,0.2640,1.3563,1.3541
57,0.2690,1.3489,1.3459
58,0.2740,1.3408,1.3382
59,0.2790,1.3319,1.3281
60,0.2840,1.3230,1.3209
61,0.2890,1.3156,1.3128
62,0.2941,1.3068,1.3045
63,0.2991,1.2988,1.2960
64,0.3041,1.2896,1.2854
65,0.3092,1.2784,1.2747
66,0.3142,1.2692,1.2668
67,0.3193,1.2610,1.2583
68,0.3243,1.2531,1.2497
69,0.3294,1.2436,1.2410
70,0.3345,1.2376,1.2364
71,0.3395,1.2314,1.2302
72,0.3446,1.2239,1.2217
73,0.3497,1.2161,1.2124
74,0.3548,1.2056,1.2027
75,0.3599,1.1956,1.1919
76,0.3650,1.1872,1.1864
77,0.3701,1.1816,1.1792
78,0.3752,1.1726,1.1696
79,0.3803,1.1633,1.1609
80,0.3854,1.1538,1.1518
81,0.3906,1.1460,1.1438
82,0.3957,1.1373,1.1341
83,0.4008,1.1284,1.1270
84,0.4060,1.1226,1.1204
85,0.4111,1.1147,1.1114
86,0.4163,1.1069,1.1043
87,0.4214,1.0989,1.0952
88,0.4266,1.0908,1.0885
89,0.4318,1.0827,1.0812
90,0.4370,1.0757,1.0723
91,0.4421,1.0677,1.0657
92,0.4473,1.0601,1.0578
93,0.4525,1.0531,1.0507
94,0.4577,1.0462,1.0438
95,0.4629,1.0387,1.0351
96,0.4681,1.0300,1.0264
97,0.4733,1.0221,1.0196
98,0.4785,1.0139,1.0120
99,0.4837,1.0071,1.0041
100,0.4889,0.9989,0.9976
101,0.4942,0.9924,0.9913
102,0.4994,0.9857,0.9829
103,0.5046,0.9797,0.9785
104,0.5098,0.9745,0.9729
105,0.5150,0.9672,0.9651
106,0.5203,0.9615,0.9599
107,0.5256,0.9549,0.9534
108,0.5309,0.9490,0.9467
109,0.5361,0.9432,0.9422
110,0.5414,0.9378,0.9353
111,0.5466,0.9314,0.9302
112,0.5518,0.9257,0.9239
113,0.5571,0.9196,0.9182
114,0.5625,0.9136,0.9113
115,0.5677,0.9077,0.9081
116,0.5730,0.9027,0.9006
117,0.5783,0.8952,0.8931
118,0.5836,0.8890,0.8875
119,0.5889,0.8835,0.8814
120,0.5942,0.8766,0.8751
121,0.5995,0.8706,0.8686
122,0.6048,0.8648,0.8637
123,0.6102,0.8588,0.8572
124,0.6154,0.8523,0.8509
125,0.6208,0.8460,0.8440
126,0.6261,0.8389,0.8376
127,0.6314,0.8321,0.8304
128,0.6367,0.8260,0.8241
129,0.6421,0.8192,0.8174
130,0.6474,0.8123,0.8115
131,0.6527,0.8057,0.8046
132,0.6581,0.8000,0.7997
133,0.6635,0.7950,0.7939
134,0.6688,0.7896,0.7880
135,0.6742,0.7834,0.7814
136,0.6795,0.7760,0.7756
137,0.6848,0.7699,0.7682
138,0.6901,0.7646,0.7634
139,0.6955,0.7586,0.7573
140,0.7009,0.7521,0.7500
141,0.7063,0.7450,0.7437
142,0.7118,0.7388,0.7378
143,0.7172,0.7314,0.7288
144,0.7226,0.7238,0.7227
145,0.7280,0.7182,0.7172
146,0.7334,0.7123,0.7110
