epoch,spent_eps,train_loss,val_loss
1,0.1010,7.9121,7.3514
2,0.1011,7.2502,6.9958
3,0.1012,7.0174,6.8242
4,0.1013,6.8675,6.6996
5,0.1015,6.7439,6.5930
6,0.1017,6.6381,6.4997
7,0.1019,6.5346,6.4134
8,0.1021,6.4542,6.3327
9,0.1024,6.3691,6.2552
10,0.1028,6.2879,6.1802
11,0.1031,6.2080,6.1084
12,0.1035,6.1375,6.0410
13,0.1039,6.0660,5.9771
14,0.1044,6.0035,5.9156
15,0.1048,5.9436,5.8572
16,0.1054,5.8842,5.7970
17,0.1059,5.8226,5.7403
18,0.1065,5.7640,5.6845
19,0.1071,5.7053,5.6319
20,0.1077,5.6576,5.5802
21,0.1084,5.6021,5.5300
22,0.1091,5.5540,5.4822
23,0.1099,5.5023,5.4326
24,0.1106,5.4581,5.3852
25,0.1115,5.4077,5.3397
26,0.1123,5.3606,5.2948
27,0.1132,5.3160,5.2506
28,0.1141,5.2710,5.2064
29,0.1150,5.2270,5.1640
30,0.1160,5.1822,5.1240
31,0.1170,5.1434,5.0863
32,0.1180,5.1033,5.0462
33,0.1191,5.0664,5.0073
34,0.1201,5.0263,4.9679
35,0.1213,4.9895,4.9318
36,0.1224,4.9524,4.8962
37,0.1236,4.9159,4.8609
38,0.1249,4.8788,4.8260
39,0.1261,4.8457,4.7906
40,0.1274,4.8109,4.7562
41,0.1287,4.7744,4.7224
42,0.1301,4.7435,4.6889
43,0.1315,4.7094,4.6549
44,0.1329,4.6729,4.6220
45,0.1343,4.6405,4.5891
46,0.1358,4.6053,4.5573
47,0.1373,4.5744,4.5248
48,0.1389,4.5423,4.4933
49,0.1404,4.5098,4.4622
50,0.1421,4.4814,4.4333
51,0.1437,4.4536,4.4024
52,0.1454,4.4214,4.3725
53,0.1471,4.3876,4.3432
54,0.1488,4.3619,4.3157
55,0.1506,4.3328,4.2874
56,0.1524,4.3044,4.2591
57,0.1542,4.2748,4.2308
58,0.1561,4.2458,4.2028
59,0.1580,4.2205,4.1750
60,0.1599,4.1907,4.1489
61,0.1619,4.1665,4.1212
62,0.1639,4.1372,4.0938
63,0.1659,4.1121,4.0679
64,0.1680,4.0845,4.0442
65,0.1701,4.0620,4.0205
66,0.1722,4.0354,3.9974
67,0.1744,4.0166,3.9732
68,0.1766,3.9920,3.9504
69,0.1788,3.9669,3.9253
70,0.1810,3.9455,3.9007
71,0.1833,3.9176,3.8766
72,0.1856,3.8939,3.8527
73,0.1880,3.8709,3.8284
74,0.1904,3.8469,3.8057
75,0.1928,3.8265,3.7837
76,0.1952,3.7998,3.7615
77,0.1977,3.7812,3.7391
78,0.2002,3.7560,3.7169
79,0.2028,3.7366,3.6958
80,0.2054,3.7157,3.6737
81,0.2080,3.6922,3.6511
82,0.2106,3.6683,3.6303
83,0.2133,3.6495,3.6083
84,0.2160,3.6254,3.5881
85,0.2187,3.6078,3.5685
86,0.2215,3.5842,3.5465
87,0.2242,3.5702,3.5262
88,0.2270,3.5420,3.5061
89,0.2297,3.5251,3.4855
90,0.2325,3.5053,3.4652
91,0.2352,3.4856,3.4460
92,0.2380,3.4652,3.4269
93,0.2407,3.4448,3.4069
94,0.2435,3.4288,3.3867
95,0.2463,3.4046,3.3669
96,0.2490,3.3832,3.3472
97,0.2518,3.3660,3.3279
98,0.2546,3.3482,3.3095
99,0.2574,3.3291,3.2916
100,0.2601,3.3120,3.2730
101,0.2629,3.2952,3.2548
102,0.2657,3.2772,3.2366
103,0.2685,3.2571,3.2177
104,0.2712,3.2392,3.2001
105,0.2740,3.2223,3.1820
106,0.2768,3.2035,3.1639
107,0.2796,3.1842,3.1455
108,0.2824,3.1639,3.1275
109,0.2852,3.1490,3.1101
110,0.2880,3.1314,3.0938
111,0.2908,3.1157,3.0759
112,0.2936,3.0966,3.0587
113,0.2964,3.0831,3.0415
114,0.2992,3.0655,3.0259
115,0.3020,3.0478,3.0101
116,0.3048,3.0326,2.9928
117,0.3076,3.0144,2.9752
118,0.3104,2.9978,2.9589
119,0.3132,2.9822,2.9422
120,0.3161,2.9622,2.9263
121,0.3189,2.9518,2.9094
122,0.3217,2.9335,2.8940
123,0.3245,2.9165,2.8779
124,0.3273,2.9009,2.8608
125,0.3302,2.8832,2.8442
126,0.3330,2.8683,2.8278
127,0.3358,2.8508,2.8118
128,0.3387,2.8364,2.7957
129,0.3415,2.8186,2.7796
130,0.3443,2.8053,2.7637
131,0.3471,2.7896,2.7488
132,0.3500,2.7733,2.7318
133,0.3528,2.7568,2.7159
134,0.3557,2.7416,2.6994
135,0.3585,2.7245,2.6835
136,0.3614,2.7077,2.6674
137,0.3642,2.6935,2.6523
138,0.3670,2.6780,2.6371
139,0.3699,2.6653,2.6211
140,0.3727,2.6460,2.6050
141,0.3756,2.6302,2.5888
142,0.3784,2.6175,2.5732
143,0.3813,2.5998,2.5575
144,0.3842,2.5852,2.5400
145,0.3870,2.5669,2.5242
146,0.3899,2.5527,2.5103
147,0.3928,2.5382,2.4954
148,0.3956,2.5196,2.4797
149,0.3985,2.5080,2.4659
150,0.4013,2.4939,2.4512
151,0.4042,2.4795,2.4359
152,0.4071,2.4642,2.4207
153,0.4099,2.4497,2.4055
154,0.4128,2.4347,2.3911
155,0.4157,2.4201,2.3757
156,0.4186,2.4062,2.3600
157,0.4214,2.3876,2.3442
158,0.4243,2.3722,2.3300
159,0.4272,2.3580,2.3148
160,0.4301,2.3433,2.2993
161,0.4330,2.3291,2.2829
162,0.4359,2.3102,2.2663
163,0.4387,2.2967,2.2503
164,0.4416,2.2816,2.2343
165,0.4445,2.2690,2.2178
166,0.4474,2.2486,2.2020
167,0.4503,2.2339,2.1858
168,0.4532,2.2169,2.1690
169,0.4561,2.2005,2.1542
170,0.4590,2.1873,2.1378
171,0.4619,2.1712,2.1212
172,0.4648,2.1545,2.1049
173,0.4677,2.1411,2.0900
174,0.4706,2.1272,2.0738
175,0.4735,2.1050,2.0572
176,0.4764,2.0917,2.0395
177,0.4793,2.0740,2.0238
178,0.4822,2.0571,2.0080
179,0.4851,2.0433,1.9923
180,0.4880,2.0280,1.9760
181,0.4909,2.0108,1.9588
182,0.4939,1.9944,1.9409
183,0.4968,1.9739,1.9241
184,0.4997,1.9608,1.9078
185,0.5026,1.9436,1.8933
186,0.5055,1.9267,1.8771
187,0.5084,1.9085,1.8606
188,0.5113,1.8999,1.8459
189,0.5142,1.8821,1.8317
190,0.5172,1.8664,1.8152
191,0.5201,1.8522,1.7987
192,0.5231,1.8338,1.7836
193,0.5260,1.8159,1.7676
194,0.5289,1.8051,1.7546
195,0.5319,1.7890,1.7407
196,0.5348,1.7769,1.7257
197,0.5377,1.7611,1.7122
198,0.5406,1.7475,1.6977
199,0.5436,1.7299,1.6829
200,0.5465,1.7187,1.6693
201,0.5494,1.7051,1.6541
202,0.5523,1.6900,1.6419
203,0.5553,1.6763,1.6306
204,0.5582,1.6678,1.6165
205,0.5612,1.6543,1.6055
206,0.5642,1.6429,1.5947
207,0.5671,1.6326,1.5841
208,0.5701,1.6217,1.5742
209,0.5730,1.6094,1.5614
210,0.5760,1.5985,1.5513
211,0.5789,1.5905,1.5418
212,0.5818,1.5779,1.5316
213,0.5848,1.5670,1.5212
214,0.5878,1.5597,1.5119
215,0.5907,1.5495,1.5016
216,0.5937,1.5365,1.4907
217,0.5966,1.5248,1.4826
218,0.5996,1.5126,1.4711
219,0.6025,1.5065,1.4628
220,0.6055,1.4958,1.4535
221,0.6085,1.4901,1.4451
222,0.6115,1.4827,1.4380
223,0.6144,1.4718,1.4293
224,0.6174,1.4632,1.4229
225,0.6204,1.4576,1.4130
226,0.6234,1.4452,1.4056
227,0.6263,1.4409,1.3977
228,0.6292,1.4323,1.3915
229,0.6322,1.4247,1.3853
230,0.6352,1.4167,1.3771
231,0.6381,1.4100,1.3703
232,0.6411,1.4060,1.3637
233,0.6441,1.3971,1.3568
234,0.6471,1.3914,1.3507
235,0.6501,1.3828,1.3451
236,0.6531,1.3791,1.3381
237,0.6560,1.3715,1.3326
238,0.6590,1.3680,1.3280
239,0.6620,1.3580,1.3202
240,0.6651,1.3532,1.3139
241,0.6680,1.3445,1.3078
242,0.6710,1.3405,1.3010
243,0.6740,1.3326,1.2940
244,0.6770,1.3237,1.2894
245,0.6800,1.3218,1.2850
246,0.6829,1.3186,1.2807
247,0.6859,1.3104,1.2751
248,0.6889,1.3096,1.2710
249,0.6918,1.3026,1.2663
250,0.6948,1.2953,1.2597
251,0.6978,1.2914,1.2577
252,0.7008,1.2882,1.2518
253,0.7038,1.2831,1.2481
254,0.7069,1.2797,1.2445
255,0.7099,1.2760,1.2374
256,0.7130,1.2705,1.2340
257,0.7160,1.2687,1.2306
258,0.7190,1.2618,1.2259
259,0.7220,1.2576,1.2215
260,0.7250,1.2578,1.2179
261,0.7280,1.2518,1.2156
262,0.7311,1.2507,1.2128
263,0.7341,1.2453,1.2090
264,0.7370,1.2419,1.2051
265,0.7400,1.2382,1.2026
266,0.7430,1.2350,1.2001
267,0.7461,1.2279,1.1962
268,0.7491,1.2271,1.1929
269,0.7521,1.2266,1.1900
270,0.7551,1.2257,1.1878
271,0.7581,1.2170,1.1823
272,0.7611,1.2164,1.1802
273,0.7641,1.2124,1.1774
274,0.7671,1.2081,1.1741
275,0.7701,1.2081,1.1730
276,0.7731,1.2029,1.1705
277,0.7762,1.2019,1.1685
278,0.7792,1.2030,1.1665
279,0.7823,1.1954,1.1631
280,0.7854,1.1964,1.1602
281,0.7884,1.1885,1.1579
282,0.7915,1.1898,1.1549
283,0.7945,1.1880,1.1516
284,0.7975,1.1835,1.1515
285,0.8006,1.1794,1.1476
286,0.8036,1.1795,1.1460
287,0.8067,1.1749,1.1444
288,0.8097,1.1739,1.1404
289,0.8127,1.1731,1.1401
290,0.8157,1.1694,1.1377
291,0.8187,1.1664,1.1361
292,0.8218,1.1689,1.1358
293,0.8248,1.1667,1.1333
294,0.8278,1.1646,1.1304
295,0.8309,1.1599,1.1261
296,0.8340,1.1636,1.1252
297,0.8370,1.1570,1.1229
298,0.8401,1.1543,1.1211
299,0.8432,1.1533,1.1191
300,0.8462,1.1501,1.1172
301,0.8492,1.1475,1.1156
302,0.8522,1.1502,1.1149
303,0.8553,1.1492,1.1123
304,0.8583,1.1416,1.1104
305,0.8614,1.1415,1.1089
306,0.8644,1.1413,1.1071
307,0.8675,1.1368,1.1049
308,0.8706,1.1372,1.1047
309,0.8737,1.1371,1.1030
310,0.8768,1.1367,1.1029
311,0.8799,1.1353,1.1017
312,0.8830,1.1342,1.0985
313,0.8860,1.1332,1.0987
314,0.8891,1.1308,1.0977
315,0.8921,1.1275,1.0959
316,0.8952,1.1271,1.0931
317,0.8983,1.1238,1.0932
318,0.9014,1.1272,1.0920
319,0.9045,1.1232,1.0898
320,0.9075,1.1244,1.0889
321,0.9105,1.1195,1.0869
322,0.9135,1.1192,1.0861
323,0.9165,1.1184,1.0860
324,0.9196,1.1169,1.0846
325,0.9226,1.1126,1.0828
326,0.9257,1.1130,1.0814
327,0.9288,1.1108,1.0804
328,0.9318,1.1123,1.0794
329,0.9349,1.1103,1.0783
330,0.9380,1.1076,1.0773
331,0.9412,1.1090,1.0768
332,0.9443,1.1077,1.0769
333,0.9474,1.1090,1.0768
334,0.9505,1.1070,1.0747
335,0.9537,1.1089,1.0734
336,0.9567,1.1048,1.0740
337,0.9598,1.1040,1.0731
338,0.9628,1.1042,1.0732
339,0.9659,1.1039,1.0722
340,0.9690,1.1052,1.0717
341,0.9721,1.1069,1.0709
342,0.9752,1.0994,1.0694
343,0.9783,1.1003,1.0689
344,0.9814,1.1003,1.0663
345,0.9846,1.0973,1.0663
346,0.9877,1.0984,1.0655
347,0.9909,1.0971,1.0642
348,0.9940,1.0941,1.0637
349,0.9970,1.0952,1.0636
