epoch,spent_eps,train_loss,val_loss
1,0.1010,7.5111,6.9537
2,0.1011,6.9385,6.6744
3,0.1013,6.6609,6.4428
4,0.1015,6.4342,6.2505
5,0.1017,6.2443,6.0760
6,0.1020,6.0693,5.9178
7,0.1023,5.9073,5.7658
8,0.1027,5.7565,5.6308
9,0.1031,5.6250,5.5056
10,0.1036,5.4994,5.3793
11,0.1041,5.3764,5.2654
12,0.1047,5.2632,5.1567
13,0.1053,5.1521,5.0533
14,0.1059,5.0481,4.9534
15,0.1067,4.9470,4.8584
16,0.1074,4.8543,4.7655
17,0.1082,4.7658,4.6799
18,0.1091,4.6793,4.5977
19,0.1100,4.5923,4.5152
20,0.1109,4.5125,4.4337
21,0.1119,4.4303,4.3619
22,0.1129,4.3568,4.2849
23,0.1140,4.2831,4.2117
24,0.1152,4.2109,4.1446
25,0.1163,4.1455,4.0797
26,0.1176,4.0778,4.0123
27,0.1188,4.0104,3.9479
28,0.1202,3.9485,3.8891
29,0.1215,3.8870,3.8310
30,0.1229,3.8287,3.7717
31,0.1244,3.7719,3.7160
32,0.1259,3.7185,3.6633
33,0.1275,3.6647,3.6108
34,0.1291,3.6088,3.5577
35,0.1307,3.5593,3.5077
36,0.1324,3.5088,3.4570
37,0.1342,3.4570,3.4086
38,0.1360,3.4093,3.3602
39,0.1378,3.3618,3.3125
40,0.1397,3.3162,3.2678
41,0.1417,3.2694,3.2215
42,0.1436,3.2241,3.1790
43,0.1457,3.1824,3.1379
44,0.1477,3.1392,3.0953
45,0.1499,3.0960,3.0554
46,0.1520,3.0593,3.0158
47,0.1543,3.0188,2.9777
48,0.1565,2.9796,2.9390
49,0.1588,2.9421,2.9003
50,0.1612,2.9015,2.8630
51,0.1636,2.8654,2.8266
52,0.1661,2.8319,2.7926
53,0.1686,2.7958,2.7579
54,0.1711,2.7613,2.7257
55,0.1737,2.7295,2.6940
56,0.1764,2.6987,2.6604
57,0.1791,2.6621,2.6278
58,0.1818,2.6318,2.5971
59,0.1846,2.6008,2.5671
60,0.1874,2.5718,2.5374
61,0.1903,2.5422,2.5081
62,0.1932,2.5119,2.4797
63,0.1962,2.4831,2.4517
64,0.1992,2.4593,2.4257
65,0.2023,2.4274,2.3971
66,0.2054,2.4025,2.3703
67,0.2086,2.3761,2.3434
68,0.2118,2.3473,2.3157
69,0.2151,2.3204,2.2897
70,0.2184,2.2944,2.2632
71,0.2217,2.2699,2.2384
72,0.2250,2.2445,2.2146
73,0.2283,2.2190,2.1894
74,0.2317,2.1948,2.1675
75,0.2350,2.1734,2.1422
76,0.2383,2.1502,2.1189
77,0.2417,2.1239,2.0958
78,0.2450,2.1013,2.0733
79,0.2484,2.0801,2.0509
80,0.2517,2.0565,2.0309
81,0.2551,2.0375,2.0091
82,0.2584,2.0151,1.9894
83,0.2618,1.9967,1.9677
84,0.2651,1.9735,1.9480
85,0.2685,1.9534,1.9285
86,0.2719,1.9355,1.9076
87,0.2752,1.9159,1.8879
88,0.2786,1.8941,1.8683
89,0.2820,1.8770,1.8504
90,0.2854,1.8560,1.8306
91,0.2887,1.8365,1.8112
92,0.2921,1.8198,1.7940
93,0.2955,1.8013,1.7773
94,0.2989,1.7862,1.7590
95,0.3023,1.7674,1.7426
96,0.3057,1.7504,1.7267
97,0.3091,1.7345,1.7109
98,0.3125,1.7183,1.6942
99,0.3159,1.7010,1.6777
100,0.3193,1.6844,1.6613
101,0.3227,1.6693,1.6453
102,0.3261,1.6537,1.6294
103,0.3295,1.6370,1.6153
104,0.3329,1.6246,1.6004
105,0.3364,1.6095,1.5866
106,0.3398,1.5950,1.5727
107,0.3432,1.5819,1.5583
108,0.3466,1.5645,1.5457
109,0.3501,1.5532,1.5325
110,0.3535,1.5401,1.5188
111,0.3569,1.5259,1.5051
112,0.3604,1.5125,1.4926
113,0.3638,1.5006,1.4791
114,0.3672,1.4873,1.4665
115,0.3707,1.4731,1.4533
116,0.3742,1.4614,1.4404
117,0.3776,1.4492,1.4279
118,0.3810,1.4325,1.4166
119,0.3845,1.4247,1.4047
120,0.3880,1.4134,1.3913
121,0.3914,1.4005,1.3802
122,0.3949,1.3888,1.3682
123,0.3983,1.3750,1.3573
124,0.4018,1.3665,1.3460
125,0.4053,1.3566,1.3353
126,0.4088,1.3443,1.3238
127,0.4122,1.3323,1.3136
128,0.4157,1.3243,1.3031
129,0.4192,1.3087,1.2920
130,0.4227,1.3013,1.2811
131,0.4261,1.2883,1.2709
132,0.4296,1.2797,1.2598
133,0.4331,1.2691,1.2499
134,0.4366,1.2591,1.2406
135,0.4401,1.2505,1.2311
136,0.4436,1.2397,1.2216
137,0.4471,1.2309,1.2118
138,0.4506,1.2209,1.2032
139,0.4541,1.2115,1.1938
140,0.4575,1.2038,1.1853
141,0.4611,1.1947,1.1765
142,0.4646,1.1857,1.1684
143,0.4681,1.1790,1.1607
144,0.4716,1.1694,1.1520
145,0.4751,1.1649,1.1440
146,0.4786,1.1514,1.1357
147,0.4821,1.1432,1.1266
148,0.4856,1.1353,1.1189
149,0.4892,1.1279,1.1100
150,0.4927,1.1199,1.1032
151,0.4962,1.1119,1.0956
152,0.4997,1.1056,1.0885
153,0.5033,1.0976,1.0810
154,0.5068,1.0900,1.0728
155,0.5103,1.0813,1.0656
156,0.5138,1.0731,1.0587
157,0.5174,1.0677,1.0512
158,0.5209,1.0594,1.0440
159,0.5245,1.0549,1.0377
160,0.5280,1.0475,1.0310
161,0.5316,1.0393,1.0237
162,0.5351,1.0323,1.0173
163,0.5386,1.0269,1.0107
164,0.5422,1.0212,1.0036
165,0.5457,1.0118,0.9967
166,0.5492,1.0072,0.9907
167,0.5528,1.0004,0.9842
168,0.5564,0.9928,0.9783
169,0.5599,0.9883,0.9718
170,0.5635,0.9808,0.9652
171,0.5671,0.9765,0.9587
172,0.5707,0.9682,0.9526
173,0.5743,0.9626,0.9468
174,0.5778,0.9569,0.9412
175,0.5813,0.9514,0.9360
176,0.5849,0.9456,0.9307
177,0.5885,0.9382,0.9251
178,0.5921,0.9330,0.9199
179,0.5956,0.9274,0.9149
180,0.5992,0.9244,0.9093
181,0.6028,0.9200,0.9045
182,0.6064,0.9140,0.8991
183,0.6100,0.9083,0.8948
184,0.6136,0.9032,0.8896
185,0.6172,0.8987,0.8842
186,0.6208,0.8947,0.8793
187,0.6243,0.8900,0.8739
188,0.6279,0.8826,0.8688
189,0.6315,0.8776,0.8641
190,0.6350,0.8724,0.8601
191,0.6387,0.8700,0.8556
192,0.6423,0.8637,0.8510
193,0.6459,0.8606,0.8465
194,0.6495,0.8555,0.8419
195,0.6531,0.8508,0.8372
196,0.6567,0.8443,0.8335
197,0.6603,0.8421,0.8290
198,0.6640,0.8391,0.8245
199,0.6676,0.8344,0.8207
200,0.6712,0.8303,0.8170
201,0.6748,0.8261,0.8132
202,0.6784,0.8232,0.8087
203,0.6820,0.8193,0.8057
204,0.6856,0.8139,0.8015
205,0.6891,0.8114,0.7975
206,0.6927,0.8061,0.7940
207,0.6964,0.8036,0.7903
208,0.7000,0.8009,0.7863
209,0.7036,0.7938,0.7823
210,0.7073,0.7906,0.7791
211,0.7110,0.7880,0.7753
212,0.7147,0.7845,0.7712
213,0.7183,0.7809,0.7676
214,0.7219,0.7764,0.7642
215,0.7256,0.7723,0.7604
216,0.7293,0.7687,0.7573
217,0.7329,0.7670,0.7547
218,0.7365,0.7641,0.7510
219,0.7401,0.7595,0.7479
220,0.7438,0.7570,0.7451
221,0.7474,0.7540,0.7420
222,0.7511,0.7517,0.7387
223,0.7547,0.7473,0.7354
224,0.7583,0.7435,0.7323
225,0.7619,0.7421,0.7291
226,0.7655,0.7373,0.7250
227,0.7692,0.7328,0.7220
228,0.7728,0.7313,0.7188
229,0.7765,0.7262,0.7163
230,0.7802,0.7273,0.7135
231,0.7839,0.7220,0.7108
232,0.7877,0.7210,0.7077
233,0.7913,0.7171,0.7052
234,0.7950,0.7133,0.7021
235,0.7987,0.7123,0.6994
236,0.8023,0.7075,0.6968
237,0.8060,0.7070,0.6942
238,0.8097,0.7035,0.6915
239,0.8133,0.7011,0.6889
240,0.8170,0.6972,0.6866
241,0.8206,0.6949,0.6842
242,0.8243,0.6935,0.6817
243,0.8280,0.6922,0.6795
244,0.8317,0.6920,0.6773
245,0.8354,0.6884,0.6747
246,0.8391,0.6856,0.6727
247,0.8428,0.6824,0.6709
248,0.8464,0.6779,0.6686
249,0.8501,0.6770,0.6658
250,0.8538,0.6756,0.6635
251,0.8574,0.6740,0.6616
252,0.8611,0.6717,0.6591
253,0.8648,0.6705,0.6568
254,0.8686,0.6674,0.6549
255,0.8723,0.6628,0.6526
256,0.8761,0.6626,0.6504
257,0.8798,0.6588,0.6481
258,0.8835,0.6589,0.6462
259,0.8872,0.6529,0.6440
260,0.8909,0.6529,0.6423
261,0.8946,0.6509,0.6407
262,0.8983,0.6501,0.6388
263,0.9021,0.6476,0.6370
264,0.9057,0.6474,0.6348
265,0.9094,0.6433,0.6331
266,0.9130,0.6414,0.6316
267,0.9167,0.6411,0.6297
268,0.9204,0.6387,0.6283
269,0.9241,0.6373,0.6259
270,0.9278,0.6356,0.6246
271,0.9315,0.6367,0.6229
272,0.9353,0.6319,0.6216
273,0.9390,0.6296,0.6196
274,0.9428,0.6274,0.6178
275,0.9466,0.6283,0.6160
276,0.9504,0.6250,0.6144
277,0.9541,0.6222,0.6120
278,0.9578,0.6211,0.6103
279,0.9615,0.6189,0.6087
280,0.9652,0.6174,0.6071
281,0.9690,0.6170,0.6053
282,0.9727,0.6153,0.6039
283,0.9765,0.6145,0.6026
284,0.9802,0.6131,0.6009
285,0.9840,0.6110,0.5995
286,0.9878,0.6092,0.5982
287,0.9916,0.6063,0.5964
288,0.9953,0.6028,0.5943
289,0.9990,0.6046,0.5932
