feature,baseline,dpsgd_5,dpsgd_3,dpsgd_1
job_admin.,1,24,27,4
education_university.degree,2,2,2,5
marital_single,3,6,8,8
month_may,4,1,1,3
education_high.school,5,8,5,10
day_of_week_thu,6,7,7,11
day_of_week_tue,7,20,21,18
day_of_week_fri,8,19,23,16
day_of_week_wed,9,11,10,17
day_of_week_mon,10,10,9,15
job_blue-collar,11,12,12,14
contact_telephone,12,4,4,7
job_technician,13,13,15,21
month_jul,14,16,18,19
month_aug,15,14,16,22
education_basic.9y,16,27,26,23
housing_no,17,3,3,1
month_jun,18,33,38,25
default_unknown,19,15,14,20
loan_yes,20,22,20,24
education_professional.course,21,23,22,26
poutcome_failure,22,21,19,27
housing_yes,23,5,6,2
marital_divorced,24,25,24,28
job_services,25,28,28,29
education_basic.4y,26,26,25,30
month_nov,27,29,30,31
job_management,28,30,29,32
month_apr,29,31,31,34
education_basic.6y,30,32,32,35
contact_cellular,31,9,11,6
job_retired,32,35,36,36
marital_married,33,17,17,9
education_unknown,34,34,35,37
poutcome_success,35,49,50,38
job_entrepreneur,36,36,37,39
job_self-employed,37,41,41,40
job_unemployed,38,42,42,41
job_student,39,39,39,43
job_housemaid,40,40,40,42
pdays_intermediate,41,44,48,44
month_oct,42,47,46,45
pdays_recent,43,46,47,46
housing_unknown,44,45,44,48
loan_unknown,45,43,43,47
month_mar,46,51,52,49
month_sep,47,48,49,50
euribor3m,48,50,45,57
emp_var_rate,49,53,55,56
job_unknown,50,52,51,51
month_dec,51,56,56,53
cons_conf_idx,52,57,57,59
poutcome_nonexistent,53,37,34,33
age,54,60,60,64
cons_price_idx,55,58,59,60
previous,56,54,54,62
campaign,57,55,53,63
education_illiterate,58,62,63,55
default_yes,59,61,61,54
nr_employed,60,63,62,58
pdays_never,61,59,58,52
duration,62,64,64,61
loan_no,63,18,13,13
default_no,64,38,33,12
